Total number of files  : 5226
Total number of chunks : 1
Total size of Files    :      13512779794 Bytes | 12,585 GB
Total size of Slices   :        627877906 Bytes | 598,791 MB
Total size Downloaded  :       3149585236 Bytes | 2,933 GB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
9B1A173F924E3091E6F69201B0D2F8D948A67DAB | 97DE9AB297FADEE0F5C180731D0ABAD2B33D9C1B |     501312 |   501312 |   225005 | .\baselib.dll
4FF56D30949EE53A750371AA979E5374B6543F8E | DE3F9AA2480DCC9D01B79BACBC5831576771670A |   15120440 |  3145728 |  2876006 | .\Dependencies\vc_redist.x64.exe
487D7A4634FD0980FE7E634F02579EF29F5E23A6 | C3725A5EE9B6446B4B547CB635F1955208E8DA4C |   15120440 |  3145728 |  2378435 | .\Dependencies\vc_redist.x64.exe
4CB5F6A94165DCAD3BED4A86C2C5349A477B06DC | F2D960B68A965636B3E7F4E90225782A1734071D |   15120440 |  3145728 |  3083459 | .\Dependencies\vc_redist.x64.exe
CE97DCC787E972DCD8A9136AA69FF9A060EC730A | D978EBF519BCF74B17B85027B1012764F5A700CB |   15120440 |  3145728 |  3142445 | .\Dependencies\vc_redist.x64.exe
41F5EAFFD9D81EFBA6577FF38B0D5707F59E12FD | 28B337C8F0797969C0948654B94DB1D82E03ED91 |   15120440 |  2537528 |  2529483 | .\Dependencies\vc_redist.x64.exe
3793F25F97180CFBAE41DADFDEDA6D8FC5C9C1C6 | FF7B96CAA65B2859F0D9CB0DB8173B495F3FD398 |   42188824 |  3145728 |  3114344 | .\GameAssembly.dll
08F363F7B05BF8BDF5ADC4EE9878D8A9314544D6 | 6A5C73ADA84E5BFCB30A743BDF8A884580EA5728 |   42188824 |  3145728 |  2899390 | .\GameAssembly.dll
F9653FAEB3D19A195BA539C4002609B48E0FE72A | AAF6A4B0ABAAC57F50BC9FEA52335526BADA8B15 |   42188824 |  3145728 |  2328924 | .\GameAssembly.dll
B5B57773AFB984255E1EECE49F6A250A7BEDD0BE | 16C76AE61985DF531F4D512D14FE2211FEC6351B |   42188824 |  3145728 |  3145812 | .\GameAssembly.dll
E801AA3CD5B92C86FFFB6CD42F3EAEA489731536 | 38E3C2237E2FE33FD8BC960D6D78090BADB7A825 |   42188824 |  3145728 |  3145812 | .\GameAssembly.dll
64D0FEE1A7E5832826BFC0752CD7ADAD9AE4A4D6 | E90386E724FAEDFCEA073806702DB061A36FEEA0 |   42188824 |  3145728 |  3145812 | .\GameAssembly.dll
58CE1E69551A53B72CCFA728A584EAFAA124488E | AD015C5FF2FCCD2F911E791A9CF69BE9DFF2145F |   42188824 |  3145728 |  3137134 | .\GameAssembly.dll
3D352B1830ABEB594D5A8FE6153E7B8CC9D61B76 | 58ED7868285FC2618AA4656201F7E13CCB5C89CB |   42188824 |  3145728 |  3145812 | .\GameAssembly.dll
667F486E3A2671B33C8785119F2E3F009A4EB9A5 | 3CCAE5BADC8FA543A9B70945B7CC225205F22414 |   42188824 |  3145728 |  3145812 | .\GameAssembly.dll
98D7DCEEB89C7D4649EDD836B627649289E96B51 | B59E3CF88F774695DE5C98DB56251291056E20A6 |   42188824 |  3145728 |  3145812 | .\GameAssembly.dll
E34A02D6332519C2883E139B334E8CF5CB215A74 | E5CFB2EC798AA82846C3835472FB105B1C51E893 |   42188824 |  3145728 |  2725278 | .\GameAssembly.dll
46EBE0578347D7C735C4B38668E9F1481C5D60FE | D492AA18A4C993B7E71E2532CC3E91CE5F6FDD02 |   42188824 |  3145728 |  2278291 | .\GameAssembly.dll
A70808A417E75723D02581FFA1A2C7144797E9D4 | 99B49D343CA295B1F26EB8C453FDC66D98A5C04C |   42188824 |  3145728 |  2077340 | .\GameAssembly.dll
AF701D7C064A7CF55F82D42AD7CFB32C0331DD75 | 2D3197B9447DAEC52813921F8B97B815873BF839 |   42188824 |  1294360 |   579611 | .\GameAssembly.dll
47A62DBDB37239C63AD321610D1C1293855A78EE | A17DC9D74FC29D8F7D3FF5AF5A5DF233CBF516AC |     664088 |   664088 |   166987 | .\Roller.exe
5B2390F8435BC0CC170755918033804AA47A8551 | B9ADE0DA8AC13241028967395EE328AFEF40CE6E |         14 |       14 |       23 | .\Roller_Data\app.info
6D950F450A4A68F6C2EC51B23E0CF00BE44CD6EC | 7488D6620B6DBD8434C51D77E9C5A557C7C4F270 |        120 |      120 |       95 | .\Roller_Data\boot.config
1E02E33C2CEF073584D682D1F59462B0F24ABF7C | 2BBDAB55B310DBD36C4710EC2AC23B126995CA41 |     401324 |   401324 |   149183 | .\Roller_Data\globalgamemanagers
EF06527FCA4AEC04866BEBC7F5911D3F27933AA2 | 8E7F1EB144D9480AC3DB3EDC058DE375B3778F26 |     817512 |   817512 |   191774 | .\Roller_Data\globalgamemanagers.assets
A2F5981DD1E84F277070D0DBDAB549AD522EB75F | 187DFF516F9448E63EA5078190B3347922C4B3EB |       1605 |     1605 |      591 | .\Roller_Data\il2cpp_data\etc\mono\2.0\Browsers\Compat.browser
2EA567ADAE7520EA045AA259029BCD07EC32062D | B3E4B508AAB3CF201C06892713B43DDB0C43B7AE |      60575 |    60575 |    13371 | .\Roller_Data\il2cpp_data\etc\mono\2.0\DefaultWsdlHelpGenerator.aspx
BB728A1D19C9E80BB81E2792CC62304C5D27C213 | D8DB7111FCE5A08D8B7C9A6E1E0AD2FBF34CFE12 |      29116 |    29116 |     3921 | .\Roller_Data\il2cpp_data\etc\mono\2.0\machine.config
83BDF964B4324E7CE25B7BC9FD13BF2E60E12AF6 | DD2BE2DBCCD34736719301AEE92429D4258EA5A0 |       2622 |     2622 |      665 | .\Roller_Data\il2cpp_data\etc\mono\2.0\settings.map
CA7B5AA1CDB27709DFC72156DD3AD3D58C03FABC | A4D7E05516F63D6AB67327B299D4FB2852CB840B |      11686 |    11686 |     1964 | .\Roller_Data\il2cpp_data\etc\mono\2.0\web.config
A2F5981DD1E84F277070D0DBDAB549AD522EB75F | 187DFF516F9448E63EA5078190B3347922C4B3EB |       1605 |     1605 |      591 | .\Roller_Data\il2cpp_data\etc\mono\4.0\Browsers\Compat.browser
2EA567ADAE7520EA045AA259029BCD07EC32062D | B3E4B508AAB3CF201C06892713B43DDB0C43B7AE |      60575 |    60575 |    13371 | .\Roller_Data\il2cpp_data\etc\mono\4.0\DefaultWsdlHelpGenerator.aspx
F1B3DFC115F81B086632F4DD98CFDE1AA095EAE4 | 9245BEFCD116458E9619694F1A785C50FA61B58E |      33648 |    33648 |     4269 | .\Roller_Data\il2cpp_data\etc\mono\4.0\machine.config
AF6A4E0D14E64F93A70550BAD73ADC52B636C7ED | 8E17E2AEC423A8E6FB43E8CBE6215040217BB8A3 |       2622 |     2622 |      665 | .\Roller_Data\il2cpp_data\etc\mono\4.0\settings.map
AC47037DD4B9765C6483C459862A7C5D5ED8B7C3 | 7D776D730CBD253564713F36573DD8366782788C |      18848 |    18848 |     2726 | .\Roller_Data\il2cpp_data\etc\mono\4.0\web.config
A2F5981DD1E84F277070D0DBDAB549AD522EB75F | 187DFF516F9448E63EA5078190B3347922C4B3EB |       1605 |     1605 |      591 | .\Roller_Data\il2cpp_data\etc\mono\4.5\Browsers\Compat.browser
2EA567ADAE7520EA045AA259029BCD07EC32062D | B3E4B508AAB3CF201C06892713B43DDB0C43B7AE |      60575 |    60575 |    13371 | .\Roller_Data\il2cpp_data\etc\mono\4.5\DefaultWsdlHelpGenerator.aspx
BE100E1A0D3F7BF77BD5C69155B2D339680C2F63 | 1E118F4B5C1C6A7B1858E3FCCB1B1D1095561976 |      34106 |    34106 |     4322 | .\Roller_Data\il2cpp_data\etc\mono\4.5\machine.config
AF6A4E0D14E64F93A70550BAD73ADC52B636C7ED | 8E17E2AEC423A8E6FB43E8CBE6215040217BB8A3 |       2622 |     2622 |      665 | .\Roller_Data\il2cpp_data\etc\mono\4.5\settings.map
269594009E80D312A7DE2454DEE54554B8C1B013 | EA3E2AD6D71D483C54B12852DCBDCD0BAA569988 |      18857 |    18857 |     2727 | .\Roller_Data\il2cpp_data\etc\mono\4.5\web.config
F2DDDB831B08D15A3A228DEFEEF42FF24AF5E257 | 2D5454E161DE8A5B65910F27BD70D9D0AD8FA476 |     311984 |   311984 |    29973 | .\Roller_Data\il2cpp_data\etc\mono\browscap.ini
31F34E8C9A372F77D5037BD5AFB261C8BB8E85B7 | C44835E4881D95A97B597BEBFF5DEBA0233A5887 |       3276 |     3276 |      613 | .\Roller_Data\il2cpp_data\etc\mono\config
46F400A653258DAC8DA60B721E02E8F38BB2E4B9 | 936520D5BB5C00A1985D7A4C4F0EF763A9031862 |      25817 |    25817 |     3019 | .\Roller_Data\il2cpp_data\etc\mono\mconfig\config.xml
B70339EC74DAB5427FDC4F588A09E79E4D947815 | DA2D6AE9E2F0051B627A0F49B4AECFA6BBF32499 |   16479236 |  3145728 |   933696 | .\Roller_Data\il2cpp_data\Metadata\global-metadata.dat
