Total number of files  : 510
Total number of chunks : 1
Total size of Files    :      43060979730 Bytes | 40,104 GB
Total size of Slices   :        111306770 Bytes | 106,150 MB
Total size Downloaded  :       1670423516 Bytes | 1,556 GB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: 1, Chunk Language: , Chunk Tags: main
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
945EA98FD8965935C5B9BE1010198EFA2053C89F | 24C1247FB0324EE35C83ADA0E048F98859955CB7 |   16742936 |  3145728 |  2098233 | agcp.dll
7B2A1087736D8ADB02ED94AE86BF23ACBD0CB497 | A835FC0E369060C9189878E8B8C37A35E36867D1 |   16742936 |  3145728 |  3110502 | agcp.dll
DA1D9B55918BEC97F5DF414B62FB243C7DB6499D | 1AD43141E7579FC416E9C705724DC7CE9741D5E4 |   16742936 |  3145728 |  2898246 | agcp.dll
3417EFD0D1E865F58BD55599DD8D76CCDC86F5AA | 55EC1868E0CE3ECF540B224BD6B7A362CD6C10B1 |   16742936 |  3145728 |  2118817 | agcp.dll
18C6BA4E793D2FAEC35446417E822809C6F6B6A5 | 10274634B34E0A7045EAB95E8AEB375F698F60DE |   16742936 |  3145728 |  2782811 | agcp.dll
355D5038F271123737536E5A19596B2413DC00D7 | 8BB0931EDDDBE1666A6CC381461FFCD6743C6256 |   16742936 |  1014296 |   791049 | agcp.dll
0F42D0A8AE235738BDBE9692EF588FE0702D9604 | A88AD0142A2174FD0DD5D1659A7421980A074DC5 |     175656 |   175656 |    87547 | amd_ags_x64.dll
4FF19C6F84543CD43BF3385C2E1EAA230A7E2A5B | EFF2D4FF97E2B8D7ED0E456CB53B74199118A2E2 |      12224 |    12224 |     6163 | api-ms-win-core-console-l1-1-0.dll
95F774E47C764A8307C34B43BF2E10445BC260F5 | 60CF810B7AD8F460D0B8783CE5E5BBCD61C82F1A |      11712 |    11712 |     6002 | api-ms-win-core-datetime-l1-1-0.dll
2EB3BE0FEED89AB4DC96181A4FB073122DDF9DE3 | C1A4CE4DED47740D3518CD1FF9E9CE277D959335 |      11720 |    11720 |     6031 | api-ms-win-core-debug-l1-1-0.dll
AED77B40B4A1920E0F9105C2B8A38F2115460B80 | B0BA0C4CF1D8B2B94532AA1880310F28E87756EC |      11720 |    11720 |     6067 | api-ms-win-core-errorhandling-l1-1-0.dll
F85CDC361FE9072C94132C17D9FD0C6162C1CD74 | 04B3F21CBBA6D59A61CD839AE3192EA111856F65 |      15304 |    15304 |     7017 | api-ms-win-core-file-l1-1-0.dll
D3B9C779084B45FE779E4629BADFDF06BC560A97 | BBCAD0148FF008E984A75937AADDF1EF6FDA5E0C |      11712 |    11712 |     6036 | api-ms-win-core-file-l1-2-0.dll
EB5114F496D14847497E637D5C1AC858F4DBB61B | 89B28107C39BB216DA00507FFD8ADB7838D883F6 |      11720 |    11720 |     6165 | api-ms-win-core-file-l2-1-0.dll
5D282EE1E70035FB1CDD3F661E041FDA802FAEFE | 3094832B393416F212DB9107ADD80A6E93A37947 |      11720 |    11720 |     6045 | api-ms-win-core-handle-l1-1-0.dll
