Total number of files   : 109
Total size of files     : 14080659488 | 14,08 GB
Total number of chunks  : 16
Total bytes on disk     : 1195757600 | 1,20 GB
Total bytes compressed  : 436552001 | 436,55 MB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 

Max(?) Slice Size       : 3145728 (Depracted)
Padded Slice Size:      : 3147264 (Depracted)
Is encrypted            : False (Depracted)


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: executable
		SHA1			 |     		 Slice SHA1		   |  FileSize  |Slice Size| DownSize | FileName
FDA49A32FE208BD35728EE0E54CBEB378CD38A3F | 023A8DC8E8869EFE8B6A5EB6338031D7C24DA102 |     111616 |   111616 |    53098 | amd_ags_x64.dll
3E9137750B4B34F585EEE2DFD262BA38ED7406B1 | B87186C17B2AB472C2D8987751F4C56EC7999470 |     391360 |   391360 |   190823 | bink2w64.dll
CEDB92F43752FBDB28FA00CA8BE1001AAA204479 | C6A8AA7D0894331A7BA962F39E27F8747D3900A8 |     297000 |   297000 |    73962 | CgSDK.x64_2017.dll
5F9AB6E56128C61EEFBBDB71733C25ECBA614934 | 181215562D24CDECC0E7AC1554FE8ABD663B4390 |     413256 |   413256 |   154356 | dbdata.dll
1A066095B00783F4A13CA042917771C5B12CD071 | C6E8D9B725F5957BD171DFB253D0C5CCD7F3D544 |     166720 |   166720 |    73918 | dbgcore.dll
383B47CC97E7D7CA27976176FCADB9066EC58DF9 | 97E97922AE65ADC94A590C5EE2BCBC1FC92082A2 |    1643840 |  1643840 |   632023 | dbghelp.dll
B5DE1D4BE45E660C4505885671E760D23C293E6A | 172ACBD3289C3E868B9FB114CAC0CBFCA50CDE90 |   15060496 |  3145728 |  2878875 | Support/Software/VC_redist.x64.exe
A1C77AA376B78B2C4A264DF0576953C38AE77DE0 | BF0588458EC2E9685A445C6F95F8E3C759B31AF7 |   15060496 |  3145728 |  2373109 | Support/Software/VC_redist.x64.exe
3A0167E9C3B2D84B2D5663BBAEB0737C1E7F2EF2 | E4CBF200263972A7C1D5929F83194C13207BEB5B |   15060496 |  3145728 |  3090190 | Support/Software/VC_redist.x64.exe
8F434FA7311BFFD06E54F82C25BA0739A1C54739 | D8D0086A227E31A8102F13FA4D956BD6DFAD115C |   15060496 |  3145728 |  3143304 | Support/Software/VC_redist.x64.exe
567B639A14D52F63F7E55EE7F057FDFB3F982DB1 | 8311A71BD6FAFB64B40C03DD6A15F4ABCE5CA996 |   15060496 |  2477584 |  2466841 | Support/Software/VC_redist.x64.exe
3014A3DD094C16039A83B529780BDBB13786B2EE | 91E2090453C1C7CB45BDE5693A0EE7D6621EDB07 |  570758696 |  3145728 |  1317341 | The_Settlers.exe
A82B4A9886FE1C09DF9C85CB90D4F04ABE3866FE | C8D6EE5ED7774329EF28504C0EC5FF8B4D9A118B |  570758696 |  3145728 |  1329966 | The_Settlers.exe
66FEA019A7618568D98F7C3661D081C2D8DF0E94 | 596A47A2371C5FE9D60AEA7CD49E16D1BF0B3308 |  570758696 |  3145728 |  1234291 | The_Settlers.exe
27ADAE441080A91160E2EF54A20EC9B7175216DF | 7A44D18503F956E95D87FC639CE6C58029B6533F |  570758696 |  3145728 |  1335966 | The_Settlers.exe
4F9FCD30D7649EE610C7B40FE333B4AE455B0723 | 9F15422B8350CB8AC42E6F1D232E765220F3442D |  570758696 |  3145728 |  1186904 | The_Settlers.exe
1B9191F288F18F7BA5F6340F44FF0C010E917E60 | BA25E53A30F7A6C2BE2F91599F4A2E6F0963636E |  570758696 |  3145728 |   859146 | The_Settlers.exe
3030C8B4F32BC7414621AD7546E4E9D4C2F574DA | E683BCA431898D86B2A127EC48AB9837D27CA102 |  570758696 |  3145728 |   449521 | The_Settlers.exe
C6385CEA515CA416A9688275BF2F381680034298 | D848ACCD42B6432FC279D61872740D3210740F0D |  570758696 |  3145728 |  1387352 | The_Settlers.exe
A4F1871CD1C764951D8AA02492D8FBECBC68E087 | AA8B020131B9A73B906CA741C410B8CCE4B453FE |  570758696 |  3145728 |  1329215 | The_Settlers.exe
45EEBE4F761929452DDB1BF1FDF26D23F6A4F217 | 6A06C2F45EB207EF71F542E52DCAB95737AD3AB3 |  570758696 |  3145728 |  1132271 | The_Settlers.exe
DEC3AC8F0C8C4B9278032EACD11242079D8768C1 | A1679A3C23B3A1933B02974F1C4AF4A470B49074 |  570758696 |  3145728 |  1121562 | The_Settlers.exe
EFC1BDADDC7BDECCD50E4FAE3A242AF9B22AAE25 | 5583213C0A7A96542919790AF52E494D9F132CE9 |  570758696 |  3145728 |   895345 | The_Settlers.exe
F28C84C8EA0A8FC58D0F2C9818DB17613CD11B05 | 0AACAA6975C9CC62439A314388165DB23B092BBC |  570758696 |  3145728 |  1105013 | The_Settlers.exe
7DCEE15B7CDA60CF2B81D6F576991A66662ADD40 | 811A8A6D19EDF1B569CCBA46F36A0AA17CE63AF7 |  570758696 |  3145728 |  1116579 | The_Settlers.exe
0EB4BAA9CD9B3A163EBC9CEA7317E25F3F567AAF | F0FF82516959E507EA98C77E316054A4C78F6395 |  570758696 |  3145728 |  1096683 | The_Settlers.exe
EBC6DC27625BC99A1C4B46C373CC552B9189294F | 2A9E27B43A5B6362219A6E1F4B8D964462ACD36B |  570758696 |  3145728 |   881926 | The_Settlers.exe
2EF2E4EE31116B39DA80D374981BE08995FEA5BB | C8167C881AF72BC9C967BD3C96210BF459FBC011 |  570758696 |  3145728 |  1143270 | The_Settlers.exe
BF9E3CDFED4390F956A4FCA21DCA23A49719B147 | 20A29F6EEC4FFF59443E4FB965BF01C37123C59C |  570758696 |  3145728 |   533933 | The_Settlers.exe
613A38150EDB265206B306A29795FF1AAB551E3D | 632DEE60D87799FCA3E077CBD41251B6B239D83A |  570758696 |  3145728 |   583505 | The_Settlers.exe
9074A43977936896661C7E324304F0F9EEDD9669 | 9660D8EEC15F69F74406674DD93745D950EC8B85 |  570758696 |  3145728 |   498163 | The_Settlers.exe
07D52886CF396D876254AA06449511041A3243D9 | 18E147499A31A0DE150CC6DD3380B0F24BB966B0 |  570758696 |  3145728 |  1027317 | The_Settlers.exe
A884CB2DEFF338E0F9E7EE672308555863B4153E | 9AB18DAA067365D4EA1CB29FEEF63962C2520EA4 |  570758696 |  3145728 |  1199403 | The_Settlers.exe
65461D58A9A98F8F4804D1FBD1BF921954A31FF9 | 108B49BAAE25C4C066BE0E5E21FFB221BA4D5BFC |  570758696 |  3145728 |  1087269 | The_Settlers.exe
0FE9957AA383008629596FC59BFCF4A3101D1E6B | 6D5625ADC58FB274CCD1FC37B406D80B99B48236 |  570758696 |  3145728 |   224266 | The_Settlers.exe
F8B45C16685B94DFC1AE958D860EC5C4EE3CC403 | FA9F6DA996C6A0B00EBDC352103B08D2E01867F6 |  570758696 |  3145728 |   418899 | The_Settlers.exe
9E05D9F4BB269EDF5FB07725343DBD73B0AB12BD | 50DD460F7908EB17881CBA91F18FF9E4CA8E360E |  570758696 |  3145728 |  1651322 | The_Settlers.exe
22C15DB3D522709ADBC5F975151690930737F8C4 | C08FC29BFF08B2A06F02CC7CA4138563C83310AB |  570758696 |  3145728 |  1780318 | The_Settlers.exe
7F675B1EE8C1CB8ADF2F0896EFA6A849B4E70F5A | 8986554A5565982F5BF6AE43ED6D9920882FF8A9 |  570758696 |  3145728 |   635513 | The_Settlers.exe
B81D024D63B8F5512B332615CC81BAAE87819274 | 383AD5D63C6E6A90CA3DD296707E2A545FD360B2 |  570758696 |  3145728 |   706203 | The_Settlers.exe
9A3775F8E7D7AFCBFD0D95F6499F80D69761F7F9 | 220CC2E7AB5AA8D9543C309E2D6AA7A560C68BA7 |  570758696 |  3145728 |   605793 | The_Settlers.exe
41945041ED3242CD56F609F9EC40C9E1F9268A4C | 18BFA7EFC4C2D58B9FCE6C99F9482C36D766387E |  570758696 |  3145728 |   370501 | The_Settlers.exe
C8B3AAC58D25953AADEEB93171CA4E48856438A6 | 05154128BD1A1266982FF7C36D318F2170DE5756 |  570758696 |  3145728 |   345999 | The_Settlers.exe
A3C0990B8BC168779175AD072C3F0CD00DE7B179 | 759407D5F0A28815A2CAD9C4278119AD8B328705 |  570758696 |  3145728 |   354258 | The_Settlers.exe
F4B5E4AE7BEC48BD315AA6BA16984E09D4463A15 | FC0AE7A685BA02CEBF976DB2EE4807F76B16442D |  570758696 |  3145728 |   509650 | The_Settlers.exe
18B4730D500BB0DF35CEAD56C47B74D4EAE403C0 | 6951334BDA21C8B3C8D05052607AFBEC989F3BBD |  570758696 |  3145728 |  1117577 | The_Settlers.exe
090EA8A99F52F22C3257C1803877F509098238DB | AE7745FA4250BDD0282977ED9BB48A77BBAF493B |  570758696 |  3145728 |  1250625 | The_Settlers.exe
A78DCD9E1746D2922ECB8991EC3F9505340C776D | 13EDCE6F3BF3A43B29349F2D8E71B39175031FBC |  570758696 |  3145728 |   683734 | The_Settlers.exe
96D2BBB726E6DDC4334E17A8110386B862A9BA33 | 6A414BBB316A96E275DC93AF1C24AB7E8CBC1932 |  570758696 |  3145728 |   559464 | The_Settlers.exe
B9C003171B743585B42BCECE7F983ABC5A5C9F09 | 2379C4FA19DABFCC13D0D5F0102A40515158D712 |  570758696 |  3145728 |   816198 | The_Settlers.exe
CD8F66587C7FA48CDA16CF202BCB6D1F74CACFC0 | 4C5FB8B7976FD2F4960322F4B5958BE21691891D |  570758696 |  3145728 |  1380859 | The_Settlers.exe
7C135F41B4F697FF2F1D75CA70C6260780B738F2 | 212CEF24F695D846DEEB390EB25225089638C3A0 |  570758696 |  3145728 |  1832441 | The_Settlers.exe
A7A2AB5F8B970C6B1C6AA3A5B4AF4D5A0384957B | BD3406FEA99FB22D645E0288D474F81999A24918 |  570758696 |  3145728 |  1898999 | The_Settlers.exe
F4BD445D15D01A2310F4923890E38EC46F1D82B3 | 38ED18B0E55CE2FD0FEDC31780421ECA0BBFA4C3 |  570758696 |  3145728 |  1826098 | The_Settlers.exe
1DBB48759EBF9508557AB81F598902D7C5FB453F | AFB8BEFBE8532F44970A73AECBA9BAEAAD866259 |  570758696 |  3145728 |  1832877 | The_Settlers.exe
