Total number of files  : 108
Total number of chunks : 5
Total size of Files    :      70940742730 Bytes | 66,069 GB
Total size of Slices   :       2221265994 Bytes | 2,069 GB
Total size Downloaded  :       3299541414 Bytes | 3,073 GB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 1, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
D273B75C319E1AA1AF087941DEBEE00C91558DFF | F480A2287670C799B9A64D5F666A354208D2B215 |     124080 |   124080 |    57628 | amd_ags_x64.dll
2C7E8B307B764489C26D4DA870AE549FDB5B8A8B | 0C63E5561AD86157DB34D518F6EB449B17093C0D |    6647504 |  3145728 |   526708 | amd_fidelityfx_dx12.dll
4B03D7F7525F6C9ED57E8905D8E8DF39ED1B97EF | C572DBD68C7262967288220F9B749A59DCF1A76B |    6647504 |  3145728 |   668287 | amd_fidelityfx_dx12.dll
469B89D6A5898E0812E23EDE3570A28747852CAB | FB514B6AB6805633AEB5B36F368707A4CBBC1332 |    6647504 |   356048 |   102233 | amd_fidelityfx_dx12.dll
59A0AE1FFA10F95447A4D706D7A0B284F51127F1 | 17BCFA9B9E55F0B78985FF7AA4121978E97C5AFB |    9284304 |  3145728 |   435675 | amd_fidelityfx_vk.dll
13456F972FF10EB0472CAB32D5928A3B9FF93EC8 | 283F5B3C70452A31B45D4009F02FCAB7A5F07A51 |    9284304 |  3145728 |   582656 | amd_fidelityfx_vk.dll
AC4E4E339CFEF0B8F119347C089F2CE864AB73E3 | 33BDBFA8045D4123259DF2FA5B319BEF38E41C71 |    9284304 |  2992848 |   432819 | amd_fidelityfx_vk.dll
D6BB82A9AFE4C1BC1C8C62C1F4ABDD7B86C7764A | BACB0A13614ABD7E192CE669B05FF1B602BBD66D |         27 |       27 |       36 | BattlEye\BEClient_x64.cfg
67BA9BC0E0CDB4C5EE7726FC1357812B48F8202C | 3396C1784C68C54B7E9014AC2BD88F3D0D9A0B56 |    6111496 |  3145728 |  3123909 | BattlEye\BEClient_x64.dll
89EAB4EB532D59B910649B63AEE0E23A1DCA0424 | B0D149D5737250E131469970DF6584EB6D165702 |    6111496 |  2965768 |  2521127 | BattlEye\BEClient_x64.dll
3D56C40912ABF26E7CBA56E3D05857C3D09F417C | C24D2E6C85FA2A818B8DAD561365C306276D3D5E |        123 |      123 |      124 | BattlEye\BELauncher.ini
4422F183EC06E29EFD7DDADB932439EF177CC641 | A2A2A702C55BE2FDDEF89537D79303D6A07F93CD |   15044872 |  3145728 |  2737040 | BattlEye\BEService_x64.exe
95FD4F31138811353B0C97F5F1FF45CEBC999908 | BE63D88D227DDFAC76F175BF980CFC519462C2FA |   15044872 |  3145728 |  3143473 | BattlEye\BEService_x64.exe
5790522C9D89AF9A2774DA97FF3A0694A37F1B9B | 76EC68E09916A7A1E5CFD31FE2B8633C86CAF30C |   15044872 |  3145728 |  3145812 | BattlEye\BEService_x64.exe
651DC421263074375529B79708928067179823E5 | 17DAFA533F11AC8C161BD9BE7DEC9839F957BA37 |   15044872 |  3145728 |  3145812 | BattlEye\BEService_x64.exe
75FE8392F4A9939A10F41C172FBC0FB73CE2D3F9 | 46D020DFAB445C608D8DB36FE4FACD04AA49CA94 |   15044872 |  2461960 |  1967934 | BattlEye\BEService_x64.exe
1FB8A10CE79EF569E0FB54A709F1B5B0508D3DF8 | 66145946C537F2BB20857F4C0BB88E8AFB074B74 |       1128 |     1128 |      706 | BattlEye\Licenses.txt
746A587C0D9B1F024FCF9F221689707D63ED6C92 | 380C6C5B22A8893A7BCB8C3D57DB1BB0F85F4624 |       1545 |     1545 |      815 | BattlEye\Privacy\cs.txt
CC481A8783B8AE6E619352018D5AA07B80785BDE | C961AB10463220D4797FB6FAA06AB507FEA3F96D |       1445 |     1445 |      738 | BattlEye\Privacy\de.txt
46D580B6ABB5C280AC2EBA7555C35B9086132ADB | 92C4119923A7055DF3A5C9DEC1A8AA1DF98B4D68 |       1302 |     1302 |      631 | BattlEye\Privacy\en.txt
79C03F4C1F779AF69C3BA71315F2527CBE2F2449 | DC857995C6E42570E511A6FE2DC4BCB1DAFDB151 |       1532 |     1532 |      724 | BattlEye\Privacy\es.txt
6DE62B9E3D4C06242E0495D971DD254D6BDD0F03 | DCAD0E7B3F1C86D03F7164EEE74A8BF9D3E52A7B |       1540 |     1540 |      726 | BattlEye\Privacy\es-MX.txt
906F14A11CC9104FA06ABBB1734F609C25BA41A1 | 7CBCDD9F988E63B80304E3DDBEC532A58829B1A9 |       1677 |     1677 |      807 | BattlEye\Privacy\fr.txt
9823C06739E03EF62D078BA5A2D2497795BE3E10 | 9417EF5A7F1D8DCBCB01FA3203EA6CCA90B87E30 |       1376 |     1376 |      661 | BattlEye\Privacy\it.txt
FDA8F46F1AFA0BD7E52CFA41389E5E2358762839 | 95F266FF1D2B68DFDB71F20381C7CE81118B9DE0 |       1601 |     1601 |      795 | BattlEye\Privacy\ja.txt
9CD9077F6416291CE90F64D33D292DF54C7A2223 | 4733F8470F1537B2390387D3D3F31A75B31DB5D6 |       1407 |     1407 |      761 | BattlEye\Privacy\ko.txt
5487604A557254A6ED2507E266D7CD15D1AECBFD | 47AEE68472044CF744C10232E1B422446297CFCD |       1394 |     1394 |      676 | BattlEye\Privacy\nl.txt
F34DD1DDA5FFEBC5990D6190247FE105C1E4BF37 | 92255BCB21DF5CBEAA234A3525FEAF9D63BAB4A6 |       1610 |     1610 |      835 | BattlEye\Privacy\pl.txt
76CC700FD59A6B0FBE9AC73B58B2963EEF3078C3 | 380B75EB0AEA717442CDE6738E7520C05207F628 |       1512 |     1512 |      726 | BattlEye\Privacy\pt.txt
CD698589E67AF59294C8E198FAD39534920BA93F | 39A5167B9591E43B7C697348C80574CB4D76A4A7 |       2012 |     2012 |      839 | BattlEye\Privacy\ru.txt
31AB8E92D8B199262F2475EB4BEA5F819BC33AB2 | 9ADBA1A0D7B51440B0BE03415BD1299D063FD1D8 |       1376 |     1376 |      681 | BattlEye\Privacy\tr.txt
0CF7284EDF999BC69EBB7C62627E45037C54BB5D | 19353B154B2627A70C7DFCC66E3765E8F160472D |       1052 |     1052 |      649 | BattlEye\Privacy\zh.txt
735A57886036079EC29E2CD1C98112604F25C87F | F159ADAD32179D1748414E3A16EB64E115B59308 |       1067 |     1067 |      660 | BattlEye\Privacy\zh-TW.txt
31EB7E904FE7F56402AC829FA19C822E90B8C1D7 | 5BFCCC949F382B4EC294514A11E8DACE31D796AC |       3192 |     3192 |     1455 | BattlEye\Text\cs.ini
47B2DAF22A27514E0CF6D3CCE46AF035A39C67B2 | 0B844A456A2942622B8FBC2CD44C2C79B769540A |       3283 |     3283 |     1418 | BattlEye\Text\de.ini
9F36FC633FD7DBAD4B7C2EFF1B92407F1AA3ECC9 | 7816A2A8270E291AB0F4EBF3F96A0947D417A361 |       2748 |     2748 |     1172 | BattlEye\Text\en.ini
9928B89185392131DCC49290920C129B5E5A5C99 | E73A1D48AC465C11258DACE757176AE63C868E64 |       3137 |     3137 |     1339 | BattlEye\Text\es.ini
97BA39AA33D827F3E27274011C522A6F82FB190F | 7F22376581ECDFAB3ECBEC098035BD79637002B1 |       3246 |     3246 |     1408 | BattlEye\Text\fr.ini
5D2063F8AF916818144BC9C1CB39A87ACFEBE95F | F18F4F2F78545C3A23ECE67063C18E1A7AFE4F1C |       3024 |     3024 |     1302 | BattlEye\Text\it.ini
12BF5B5FA04F26CE5335083780CDFFDF9E3FDFD9 | 1FD2AFD5054D1B36E76CA062953695A93AB13976 |       4125 |     4125 |     1552 | BattlEye\Text\ja.ini
97E365428E2EAF761B4955A19E8A4ACD8B35C80E | 1C8DC8DEF8426C09145CC19596E86353703C10B6 |       3362 |     3362 |     1431 | BattlEye\Text\ko.ini
A146EB6E950B361039D673E52CDC2406C3688397 | 63B63D15CB4748249A9B139D24C4D9C3B607F03B |       3004 |     3004 |     1309 | BattlEye\Text\nl.ini
F0CE70EB614867D67705895485358B211D958F16 | 1A32E8BC1367D9139E881DA77469FC85E3868165 |       3165 |     3165 |     1436 | BattlEye\Text\pl.ini
E4277DC3C4BF271F021023B84A419EEC2C5F2EB8 | 2FD9C455247622E8F645688E35314F465E3CD18E |       3054 |     3054 |     1324 | BattlEye\Text\pt.ini
88A437E4D1794945A59C2086D3A675D46F093BE4 | 18FACBB5AC97FFFAF86C6BE527F90B286AD7CD4C |       4901 |     4901 |     1718 | BattlEye\Text\ru.ini
0E191C5D8DB569D142208631C208E895CCDB2463 | 86633D6FA9764BE604A6CE85E02CCDBB1CC240DB |       2990 |     2990 |     1347 | BattlEye\Text\tr.ini
6975D002DC2EB9D70723535839BAA5D4BE69B613 | 0332BAB4A1AC34CBC46645A8A570635FDF0302DF |       2628 |     2628 |     1363 | BattlEye\Text\zh.ini
F5E2A253C722BAAD4C39A339AC39721ED549EDD2 | E8BD6BDC8F717C52BC149AA208F7573A03D3FE91 |       2628 |     2628 |     1371 | BattlEye\Text\zh-TW.ini
496AD0FC62C05FCBE0482CD4A1F96638DD578506 | 7897A0C8F38CC3694E5F7E4234C88451CF2AD2D5 |     420048 |   420048 |   202849 | bink2w64.dll
5CDB2E6AB30D0E2BE4F5FB0D7C29158C9B8F739F | C4D2EE6AFFBAE8A13B074EE65AC3B8C183C5FD72 |     229983 |   229983 |    24298 | data\Databases\GPU\extendedpcidevs.txt
FE8B9D7F6E84ABEADB0336B1B687CA13F7EDEAEC | 93D372853DCAAB9CD3166C1201DD9A9EB2A6B3B2 |      44816 |    44816 |     8540 | data\Databases\GPU\gear_gpu_scores.txt
8E6C523D63C5317DA9F2E9A2646A19FE32B334DC | 433A5C78CDA23B66D92601CBA2357ED3248BB81B |      34480 |    34480 |     3130 | data\Databases\GPU\gpudatabase.xml
CD022BEBD9DC8133E68EEB6C53C722BB51BFFEF6 | 3850294012B5B59F2C1DB780589C7230D952E841 |     109744 |   109744 |    23892 | data\Databases\GPU\gpudatabase_win64.dll
917A428EBA963414D5C1A8B38DD972E1CEC68EEC | 90202D1DC0F1E9D6A4EC0E3441AE457F6D56E7B4 |     861121 |   861121 |   146396 | data\Databases\GPU\pcidevs.txt
F9558B76CCF6979F0F7AFAFD2FAEFF4254DD3E2B | 78513C5065B9F9E6849472F2A64134CD53B5A446 |    1413072 |  1413072 |   539402 | dbghelp.dll
B105D530EA707566625C7E0949D5A20D6BF0D532 | 7149F53C70FDB6340AC93689402AF37DB88C39B3 |     206880 |   206880 |    98301 | dstorage.dll
F4B14C2FCBC7A51AF5296FAB15493E57DD498366 | 14FF1F82DCBFBA05326D19DBDAE0D3509DF1640C |    1468960 |  1468960 |   421374 | dstoragecore.dll
16DCE7C22D32210DA7DE3030C6984F6453CCD61D | BB86CA3A04228DE527B8A22681110495989031E2 |    5431880 |  3145728 |  1034272 | GFSDK_Aftermath_Lib.x64.dll
E9D1C8B1DF81229576B0FEBDB024E7CBD5AAC99D | 4F5AE89EA00E669ED31C534F51DADA6A369562C9 |    5431880 |  2286152 |   590776 | GFSDK_Aftermath_Lib.x64.dll
3420060BAEC9237D5C3A00A5335E9B70081BE5EB | D97946F7F3448B9787EB15EED7F431A9E9E57537 |      88760 |    88760 |    35986 | HFFBSDK.dll
F843FBFD667C6A9DD0D8186E2F646E07E988D889 | CAAEA437524756251E68F7993AEC0C6473FAEC2D |     201912 |   201912 |    84214 | LogitechSteeringWheel.dll
3F2BD4D051C3E892B188AC0A5A4559B7B3101A69 | DCF4AF7080EDEAC26F5F0FB9C4419C543B7BC14D |   51281960 |  3145728 |  2484308 | nvngx_dlss.dll
EFE6F9371160AE8A603B1F6C7843DDED61ACC419 | 53A9C3275AC4995C986DC1FDA41823C728E1D7D1 |   51281960 |  3145728 |  2954615 | nvngx_dlss.dll
BAECBDE17F10B3D07208FD415471B55612637264 | 8D0296ED098315B183250964CC63C0D1C311255F |   51281960 |  3145728 |  2945543 | nvngx_dlss.dll
3DEAB8B57986F18D6BD71FDDCEE6183D4E056345 | 271D4C5385633DF68009E7D8EAB73D755E1624A7 |   51281960 |  3145728 |  2927588 | nvngx_dlss.dll
8487DC1B65DEA1E1ABD3E32A5D88C383CBAE7ABB | 300C04378B7E94C8789802F39ACCC88A5D678D68 |   51281960 |  3145728 |  2926895 | nvngx_dlss.dll
85A087DB3E658C2D341C9D82772E8E9B7DFC71C4 | 93E909DC7A9C89268787F2443DF6FD982A1A7FDD |   51281960 |  3145728 |  2932935 | nvngx_dlss.dll
66E78BD2EB12A27A2DAC42721EA52117ADAACAF9 | 6BBD36A9617E45FCF80E3AD06A8844B18377E1BF |   51281960 |  3145728 |  2931737 | nvngx_dlss.dll
3E91B83EA2D2A964D364EA061B9E7A708411132E | E09AFA9183FF5A3F88EE96C53C3ED100EDA2B5DF |   51281960 |  3145728 |  2925878 | nvngx_dlss.dll
1E233129153EDF353AF9F3A758293C63360FE99B | 61EB9E9EA2D25D4A6535CDDD475DEB95BA5D9FEA |   51281960 |  3145728 |  2923633 | nvngx_dlss.dll
C3137B3D88909464B96AA158B7D3E1AD83B9DB6B | 1DFA50E15DF11BCAFC337C19F11D2D727A814A4E |   51281960 |  3145728 |  2806672 | nvngx_dlss.dll
4F200A059FE64C0987824CB1CAD1ABABBE43CFBA | A4523AF83DDD489275492601CDD7F351B74DA049 |   51281960 |  3145728 |   923921 | nvngx_dlss.dll
8F4919958F9E2CD2596D95D60637533A4563D74B | 0B8F810E93BA53D15DCB2ACE4950B536D08BEC58 |   51281960 |  3145728 |   534297 | nvngx_dlss.dll
E60ADCDA9107239BB616A02E9FB08841386E2EF8 | B1189F9619C0ACB79F7AB045E0BE577D9B3D143C |   51281960 |  3145728 |   923081 | nvngx_dlss.dll
AD05AFD7DC6B60320CA1AD6C88DF696326D31266 | 83A82EE039550B4AA22C1DB11A15203369A8E2B1 |   51281960 |  3145728 |  1096425 | nvngx_dlss.dll
A5FB1357A570BCAAA82593EB14C07FB11ABED93A | 6F155ACDA578728347758202342ECBC5AC257867 |   51281960 |  3145728 |   702675 | nvngx_dlss.dll
5679D430CE691EE5B2DDB91DD0D298E9A01A23A4 | DC166F4453BE1DFCD6B0612DD59AA4DB5A58E7CA |   51281960 |  3145728 |   606731 | nvngx_dlss.dll
B0ECC7182DCCF3C3B5E33E463F947D601FB5B110 | 2CE75F15D55189DA6CCF9C6D7EE1DFDCA6A822E8 |   51281960 |   950312 |   248936 | nvngx_dlss.dll
BB346979BAA45169C96DCAA8EBE91772E0B4C3C0 | BF39C7A573CE8400E9B9E63CA60D460E541FDA43 |     162536 |   162536 |    47022 | PSOCacheInitialData.pcd
C57F7B6981608B0CE1B682D3EF5AFBAEC0359C7F | 4E6306845CFC43F3443D00426D60FAC1D748DEF6 |    1479856 |  1479856 |   516445 | SDL3.dll
5FBEDD998D20820EEF0E8DF332C3318D6C26268A | DD82D60C789B5764470B135652E322EEE32AD77E |    2052280 |  2052280 |   693821 | SDL3_ttf.dll
270E5FA0C7AB9F6815057225F3195256140DDD15 | 9B2FB8F0AE64E546398EDB841DEFE8513BE11929 |  239040224 |  3145728 |  3043955 | Support\Software\UbisoftConnectInstaller.exe
71EE46E52779F070323D6B0A284CCC3D211D72A6 | C362556F48530114A605F407798EFB7A8D6C1C83 |  239040224 |  3145728 |  3120901 | Support\Software\UbisoftConnectInstaller.exe
59C56B77FAB18A246774A5AD6FBEEFC44C6B27BD | 74F1D182D271AAA6D02E5BBEFA7B4E54A7B508C4 |  239040224 |  3145728 |  3145812 | Support\Software\UbisoftConnectInstaller.exe
73A4A0884B7505145B2AB1A73125DE2C0BA0606D | F78888ACD5BB1AB56742BAA020E7331E1F0E4DDB |  239040224 |  3145728 |  3145812 | Support\Software\UbisoftConnectInstaller.exe
44E85C091493C42B58C374FFE29B8AF86B4A278F | 51D18192D5EF80D4FD027CE898238EC44C2E85CA |  239040224 |  3145728 |  3145812 | Support\Software\UbisoftConnectInstaller.exe
80FC9879DD26CF6982B913DBC2EBDBDC7D4DFC02 | E5044D7435A9F503E8F4B5C17F9C83E6D1B94551 |  239040224 |  3145728 |  3075280 | Support\Software\UbisoftConnectInstaller.exe
603CFE35F34B0B7C6F7D50C85B9B6932DD470B69 | F84F6C30A5091D1FFE163EE6938A65CE8AD1A9BD |  239040224 |  3145728 |  3143325 | Support\Software\UbisoftConnectInstaller.exe
