Total number of files  : 138
Total number of chunks : 19
Total size of Files    :      53436766608 Bytes | 49,767 GB
Total size of Slices   :       1897159056 Bytes | 1,767 GB
Total size Downloaded  :       3296741036 Bytes | 3,070 GB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
EA47E6419EFAAF9D0DC29E42260D697F491DE5CD | 348552EA86C1B7EA2C920BC99545FB5FBD8D8C65 |   63350352 |  2097152 |   967811 | skullandbones.exe
8FA008539216D29D93031B9778B50A1242CBC89D | 715DF2DF1E08862B367B68911D63332A4C7196A2 |   63350352 |  2097152 |  1870727 | skullandbones.exe
DB6405A2F3570DB1C0CBF2D4E23D3A11B5042012 | 14A93EEBF60E15768FC735FC4A2A45E5549D1B62 |   63350352 |  2097152 |  2097212 | skullandbones.exe
150A179062AAD6C80581D3BB9AC739D5BF2585AE | 0BA43FFD02403F660AF1E98F19F3F3D02ABD922D |   63350352 |  2097152 |  2097212 | skullandbones.exe
E0C48A06D6BA939F3134DE953D838DEE5ACB2BD9 | 1142145A11042801B2B68BCD8BD415CF46D50D0C |   63350352 |  2097152 |  2097212 | skullandbones.exe
E504C190E7E49E6DDF6C7CFBAF9BFF4410B003B4 | 9751AA601A5D96D4B274A8E700E82AD26B0E72CD |   63350352 |  2097152 |  2097212 | skullandbones.exe
9565AB4E7C5F3E3F7C801F5E0140F204EC09C416 | FEA682D24FA87823B03C2E1A4878AFCCB1CDBABE |   63350352 |  2097152 |  2097212 | skullandbones.exe
81DAC41262040072CDD4990F2D923E01DB50ECA6 | 343A4B787354147C0F2EF4302897902F7494F918 |   63350352 |  2097152 |  2097212 | skullandbones.exe
7055E217AFB3ECDB196601ABD20CE0FD52837962 | 4F32D94A471FE415B9BB874E91418F5B7D10E56C |   63350352 |  2097152 |  2097212 | skullandbones.exe
4BD204C79EB593E81CA3B58E0FE80BB4269CE9FC | 3E9296269C77287B0F319D374BE7423C7740AC0C |   63350352 |  2097152 |  2097212 | skullandbones.exe
57E4D5C4FC6CC90B8A14C3C6DBAC263A846446A4 | F98E25CFB06E976452026AA6950E51ABB38777E2 |   63350352 |  2097152 |  2097212 | skullandbones.exe
F0980F0C9B67161495147CF2AC80F3553C54DEDC | 6A500C19C3E3D90AD2FC5E658DF4A5F40E886ACE |   63350352 |  2097152 |  2097212 | skullandbones.exe
2658477FCFD8671C1CD2D348F00A6E4ECF384DFF | F54F0AB85F73E668BAB4FFF1B52D78CFCC747069 |   63350352 |  2097152 |  2097212 | skullandbones.exe
ABBF0E57E66780514A4C338237803FAB0CE8D684 | 1293F9E4ABD39A9434EA6CC7D11E57DEF0CF5A5D |   63350352 |  2097152 |  2097212 | skullandbones.exe
A7B3CD08F75F057302861D8C1486A336011770B4 | C7EC493E1C49583BC86765616A3E608B26EC789D |   63350352 |  2097152 |  2097212 | skullandbones.exe
D017337B8FD71AF9837D8531466ADD9E09C34C8A | 55FDE831CCAC27F5105DAB1B17858E8113F46E05 |   63350352 |  2097152 |  2097212 | skullandbones.exe
10397590DECA4957F687D683F76E95BEE4497398 | 8573DF4918775E0BD8C8D9325AC6ADA403021D65 |   63350352 |  2097152 |  2097212 | skullandbones.exe
1DB003863E41BBBEB19D30344211B2B3E11753BC | 8F73246C1FBE81C00247DAFEA29447C7983FA5D2 |   63350352 |  2097152 |  2097212 | skullandbones.exe
