Total number of files  : 277
Total number of chunks : 1
Total size of Files    :       3227387436 Bytes | 3,006 GB
Total size of Slices   :       3227387436 Bytes | 3,006 GB
Total size Downloaded  :       2835135604 Bytes | 2,640 GB

Compression Method      : Deflate
Version                 : 0
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 

DeprecatedLanguages: de-DE , en-US , es-ES , fr-CA , fr-FR , it-IT , nl-NL , pt-BR , ru-RU , 

================================================Chunks================================================

Chunk ID: 1, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
259C457C7750D39C394FF86F6C4C34031906BA7E | 81346B1797074AD4FC37946897776277644A1FD4 |     231952 |   231952 |   132168 | bin\binkw32.dll
68EEBC356A28FEF37FD77759F4D47F74E9A6DF63 | 36B130AD566C29845180CE977BA62D1F3B08FF6D |      97907 |    97907 |    73449 | bin\farcry3.ico
2BF2F17BC1CB0D6358621F0D14C03C8DB04D9D9A | D14FCB3E50E2753F0E6003D5403EBE0C8A53B124 |   28626960 |  1048576 |   502688 | bin\FC3.dll
0BED0F13F439E3294CACCB9CBAC26CAE3EA725EF | C913587F4D352C7CC2226AE4B591106C62363A26 |   28626960 |  1048576 |   505078 | bin\FC3.dll
3469C4044E88C577F43708A1AB5754FDDF34C9FC | 74EFB469239C7D7856EF336A403497C3A840381E |   28626960 |  1048576 |   530364 | bin\FC3.dll
9D669D41FDB8DCE351778BDB06A0D2E90A9451D9 | 4F6A548FE61CD1C483BE895794ED0E4272411BBC |   28626960 |  1048576 |   490516 | bin\FC3.dll
94935A743A34123009EB456EF7B61EA77EB2A43F | FD6326A9571549035590B4A33589E82A7160BBC3 |   28626960 |  1048576 |   546049 | bin\FC3.dll
645C6D1FF330EE43166C6ABA32530D64EB0793A4 | C17DEE2FACEA24D16EC6881CE5C006918FBD647F |   28626960 |  1048576 |   532839 | bin\FC3.dll
5650A147283E72AE9A206CC6988CE0F4678AD699 | C4F7DD961FA56AF69B2CE2670FD9BB2F7502559B |   28626960 |  1048576 |   493549 | bin\FC3.dll
2E61696452F9F11E54A8F3858414A0E02F20CC1E | 1C0D538FB2628AEC228DA85A3E487F8D06B6B236 |   28626960 |  1048576 |   504481 | bin\FC3.dll
