Total number of files  : 208
Total number of chunks : 23
Total size of Files    :       8314112207 Bytes | 7,743 GB
Total size of Slices   :       4019144911 Bytes | 3,743 GB
Total size Downloaded  :       3931001953 Bytes | 3,661 GB

Compression Method      : Deflate
Version                 : 0
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 

Max(?) Slice Size       : 1048576 (Depracted)
Padded Slice Size:      : 1049088 (Depracted)
Is encrypted            : False (Depracted)

DeprecatedLanguages: de-DE , en-US , es-ES , fr-FR , it-IT , pl-PL , ru-RU , zh-CN , 

Readme Files:
RootPath: Support\readme, Files Count:8
Name: de-DE\ReadMe.txt | Locale: de-DE
Name: en-US\ReadMe.txt | Locale: en-US
Name: es-ES\ReadMe.txt | Locale: es-ES
Name: fr-FR\ReadMe.txt | Locale: fr-FR
Name: it-IT\ReadMe.txt | Locale: it-IT
Name: pl-PL\ReadMe.txt | Locale: pl-PL
Name: ru-RU\ReadMe.txt | Locale: ru-RU
Name: zh-CN\ReadMe.txt | Locale: zh-CN

================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
D92182B0A6CA29A04D1D2619F4FD8ABF01C03802 | 06BD28652209F7EE691DE144929A127A4ABF96B5 |     318976 |   318976 |   161744 | bink2w32.dll
383EB89AED27578DAF463C47579B8DF664BC69CF | 9FD1B5895BA4BF05DCE343C0E5D4E58EAF632F14 |    1751424 |  1048576 |  1023425 | CoA.exe
17A6729FF7A5B998DFF62D21EC8C0429EF6EE480 | 6D59E5D358F23CE0F054274661A97A7E627B4BB7 |    1751424 |   702848 |   660142 | CoA.exe
41912B26AA783BBBF8188E98D2894508A93EFB32 | 6580A11B61A51263561F97ECD3B6D7F43E4FA621 |   72341432 |  1048576 |     1593 | CoA1.bin
4170205B5D85403000A6AEA7F53CF1A432BDD5C0 | 045DB76249FA8623E171516BD334DFBCA6FF603D |   72341432 |  1048576 |    14307 | CoA1.bin
7AE15D2E617381645E8F75E22909C21C968BDB83 | 2FFC19CE7BF0FA1A82283BC8E733D418CC88E8F0 |   72341432 |  1048576 |     9795 | CoA1.bin
0B6B30D76F28765772FE63B24DF9C87217A16454 | 41702845051DC8E1DE4CDF870205E561DEC6CE30 |   72341432 |  1048576 |    12895 | CoA1.bin
2B26FE9DA5B099A49F50E8DA83BA5F219CCB0597 | 32532927F09C21C26D923A34C1753227A07FE08C |   72341432 |  1048576 |     1105 | CoA1.bin
D15554456AA6877702D0D7DC871F0F1DBFF3E503 | A6960F407A2A7DB8111CCA59C45FB29649888AE1 |   72341432 |  1048576 |    16210 | CoA1.bin
734EF01AEF0F4DA7F870CDFBCBB0EB00639DE598 | 4AB0D983B157E84191C77EBF18A4C47209E8B14E |   72341432 |  1048576 |    12442 | CoA1.bin
19E69593A63A26ED7190DDC02B2873A63B64D777 | AFAC2DB03E2D003230754B547D95C8D5C5AA8C3C |   72341432 |  1048576 |    16188 | CoA1.bin
490C2BD27614BF920D4C3ADCC65D9E66EE5C338D | C6E3C9FD5BC3FCFD11F119E78B1B7AE2A7CA0B6E |   72341432 |  1048576 |    12839 | CoA1.bin
8F28AB3DF333C4E290CB77C09E4D42EAA4FB2605 | 16E1FB76D8DF2E594636847589211CBEC94A2541 |   72341432 |  1048576 |   163633 | CoA1.bin
7FC4938EA2F694BD6067B17F2621C4F182D08C27 | D68CE39117B13750942CBCCA6278574702F06BC2 |   72341432 |  1048576 |   321546 | CoA1.bin
04D00C087D5AD2BD1DCE57448B0E59FDC7310388 | 0203F3F22F781E1C4E4ADA31B9F40B9BD80EBA11 |   72341432 |  1048576 |    70720 | CoA1.bin
3CBAD8DBE3DB195FD8C77205AD16E453098AF02B | 3B71F43FF30F4B15B5CD85DD9E95EBC7E84EB5A3 |   72341432 |  1048576 |     1039 | CoA1.bin
3CBAD8DBE3DB195FD8C77205AD16E453098AF02B | 3B71F43FF30F4B15B5CD85DD9E95EBC7E84EB5A3 |   72341432 |  1048576 |     1039 | CoA1.bin
333AF9C8A87D2260A161255D9BA59500D63D7155 | 268FECEA88C1F274CB3C3C8250BA282F33085576 |   72341432 |  1048576 |   477156 | CoA1.bin
1C09366C02E5168087B20BF216DC6812EB2C57BA | 6E96BC5EE9B9AD376182681CB51435E07D11D3E9 |   72341432 |  1048576 |   427540 | CoA1.bin
90C34C561E491012AF88550180FA4D8C4E85542B | 77F64101F978A285B2E1D7996430B49783602E8B |   72341432 |  1048576 |   390682 | CoA1.bin
99D88B692BAD3C9585554F0C5A6315081B35DFB3 | 9B88CC8EAC3F1484C5D4CA2EE2B3C3FA082569B7 |   72341432 |  1048576 |   476840 | CoA1.bin
