Total number of files   : 358
Total size of files     : 1850426486 | 1,85 GB
Total number of chunks  : 1
Total bytes on disk     : 1850426486 | 1,85 GB
Total bytes compressed  : 1850426486 | 1,85 GB

Compression Method      : Deflate
Version                 : 0
GameVersion             : 
Is Require Patch        : False
Is file compressed      : False
Chunk Version           : 0
Legacy Installer        : 

Max(?) Slice Size       : 1048576 (Depracted)
Padded Slice Size:      : 1049088 (Depracted)
Is encrypted            : False (Depracted)

DeprecatedLanguages: de-DE , en-US , es-ES , fr-FR , it-IT , 

================================================Chunks================================================

Chunk ID: 1, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 |     		 Slice SHA1		   |  FileSize  |Slice Size| DownSize | FileName
                                         | E0B4ED13FC2540B053FA0E43EA0DFE2DCCC70923 |      60728 |    60728 |    60728 | AIFunctionsMapping.txt
                                         | 29C4D2BFFBF4D53BEFC6AD6F17B1302EA133521A |     224768 |   224768 |   224768 | binkw32.dll
                                         | 5F8FE7356342B65E26EC27F50E2B77374EB744D0 |    5908912 |  1048576 |  1048576 | From_Dust.exe
                                         | 7CF694E89AA5636FB33A376A89A2FC337917F776 |    5908912 |  1048576 |  1048576 | From_Dust.exe
                                         | 56250A38F4F262D8735686BFD39463199FAD6D77 |    5908912 |  1048576 |  1048576 | From_Dust.exe
                                         | DBCFD555782B2F92FDA6ACDE0B69783A9921E37F |    5908912 |  1048576 |  1048576 | From_Dust.exe
                                         | 44158D0BA144FF0F0513F9A1847DF5595E6E9557 |    5908912 |  1048576 |  1048576 | From_Dust.exe
                                         | D5B999A69CD6F74D8958F74007091F6746487CDA |    5908912 |   666032 |   666032 | From_Dust.exe
                                         | 9A0B0B6B71B762EEC349B4CC13B6419C80A45CAF |        658 |      658 |      658 | From_Dust.exe.manifest
                                         | 30872B5EB968483A9D222B26E88F79ECFF09C8CC |      48952 |    48952 |    48952 | GalileoKernel.dll
                                         | D9FA5515454A147993ED673F05B61954E34AF2D3 |     183726 |   183726 |   183726 | Game.ico
                                         | AD534D368E156B85DD0C3CF2D189386B7176C99C |     110512 |   110512 |   110512 | GameuxInstallHelper.dll
                                         | 95DF669D3CB30E1523B53E9550FD0A88C7CC696F |    2827184 |  1048576 |  1048576 | gdfdata.dll
                                         | 5307388FFFBA639C5C3BE6616FF482E7D39444BC |    2827184 |  1048576 |  1048576 | gdfdata.dll
                                         | 13EDCA4B2051F9FEFB8120583D8336591626F85D |    2827184 |   730032 |   730032 | gdfdata.dll
                                         | 9207FDE55156AFA5E694D67EEC1C9CDF9944009B |     178734 |   178734 |   178734 | Ubi.ico
                                         | B1ABAEEA70E0F57B501AD141AAB5FABC02610CEA |     236344 |   236344 |   236344 | ubiorbitapi_r2_loader.dll
                                         | E45B7FB4AAD6D5AD86390A9E4BB768EE9CE04A97 |    1661872 |  1048576 |  1048576 | AInative\bin\dll\dustai.win32.f.dll
                                         | C221092CE7A23750BDA283231BD56ACB2721E755 |    1661872 |   613296 |   613296 | AInative\bin\dll\dustai.win32.f.dll
                                         | 1A1E96E77CC3A996C5F5C2EC544FAC8C6FB97E88 |    1654072 |  1048576 |  1048576 | AInative\bin\dll\dustai.win32o.f.dll
                                         | 9937600212B8AEBE9584A8F47024EA3F821EEC58 |    1654072 |   605496 |   605496 | AInative\bin\dll\dustai.win32o.f.dll
                                         | 7D120BADAA656D15A4B34127B23509F05F9B650F |         14 |       14 |       14 | BinPC\data.inf
                                         | CAAB55EDD5460C7FA9EF6AACFDB22F56B533DDF4 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | BBD2371A67A086704A78C547C0484D1DE23466F6 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 82C7D0CA8DFEB7A2CAD5DE8129B151C8E5F3137C | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 8D4F879EF9E35F6FA99E48FE59DF4EA8E1661416 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 5BAE1870085D529B167CABFD2FB24258624E7A2D | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 494C408E12AAB35BEACF508E012376A585D5A8B0 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 1620FC9A98EB809E02374B8EA8DB374068203530 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | F4EE0C2A9595B0B17CD2EC7761CD00B823FD29DF | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 5B732B2FCCC778E19935D914C4538DB512CA7692 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 07306A192FE943C23E0DFF6722FCECF5D1EC613A | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 612CCC44EEEB9871C67B3D7EBB1DB84F1606C76F | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 1D9D05D0ED1BC35E95E2295365E39F1C6CFDD817 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | BCF4C509612FCD705213D9D484FDD85BC0EDDCCE | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 8403F3F15E6682CCBF5BE750396413CB1359FF5B | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 2E22C5D8CB3050DE1EF40AD8EEDA06353267FB7B | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 23F7F238F3132D3BDD113646513C1C6A6C26F0A0 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | F94348802C9232D4272DE923A76CC767C2BA77B6 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | AAE69ABD37E11E6A8BF3449720841540692F6150 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 3CF740FF16A0B32C95AFBBA20D38AB00BD5791B5 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 5BF680228C426A24179078D2AD0FB96921DC71E6 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 71C8D726C2914530E3853B9E70E0E6AD2C8F52B7 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
                                         | 4236001364B6040FEE70D96DC184116B4D6139F3 | 1489960792 |  1048576 |  1048576 | BinPC\Gen_Common.lin.bf
