Total number of files  : 2465
Total number of chunks : 11
Total size of Files    :     146102161419 Bytes | 136,068 GB
Total size of Slices   :         73273355 Bytes | 69,879 MB
Total size Downloaded  :       1318107683 Bytes | 1,228 GB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: release,final,retail
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
500A135961CECD2024191E09B6DBA29EB6445AAB | 0FA1315451FA3A46034193D9BA9C4ECDD57A9702 |     518956 |   518956 |     7663 | chunkmapping.mchunks
B85D8972B8BCEC124F61041B736F7081A3AF9C5C | 64999561056FCC1D5CAD6E39E65FED6B1391CC7D |     414928 |   414928 |   199671 | bink2w64.dll
898EF9413782A23CB7D762AA0171BBE0C60D084C | 5A84360D37AFA4CCD5591C2F02FAF2D28324503B |          9 |        9 |       18 | codecl.txt
02CEE9BC40889DFF8F9A0D8FF847E968F137F77A | DAD62D87235C0E0FCE4A38F7AAF25E263084C2D8 |    5401504 |  3145728 |   746831 | d3d12core.dll
CDBCCF9BAE7544E7925F9E9272830F18D29C7904 | C50D158EC3E85B23B2CA2EBA3617A02330E1E310 |    5401504 |  2255776 |   494682 | d3d12core.dll
EA768066AA9F63EF0894D3252499B24A2CA68F0E | 12F96419A272F882560B99AD559B035374D74F03 |    4896248 |  3145728 |  1284657 | d3dcompiler_47.dll
55057A5A837FEA6BCA686B21307FB8B2F0097211 | 8987A151963A8915DD3E01CA8BC53BF43B97A74A |    4896248 |  1750520 |   545440 | d3dcompiler_47.dll
84F002FDC3F89852B47185304F95B4EA6DDEB892 | 45796666E3919F52B66268D77974F5F59643C385 |     166552 |   166552 |    73220 | dbgcore.dll
9CF0A4BA24155A13EA98FD71F8AEA1065D8EDF5D | 543B936A89FBDB0220381EEFF0824B3968390E82 |    1938072 |  1938072 |   713683 | dbghelp.dll
7CD10B83A349AF14918A1C2102AF3FAB90B3BE42 | 9C355723B9204D9E930942EE897DC3674F5FD0DA |   20067744 |  3145728 |  1175898 | dxcompiler.dll
0F6F71E1BAE06392A9DC2285603988B80543F81A | 4E52671E0CFE60EE32DAA28C99AEC74ACFE0C0B0 |   20067744 |  3145728 |  1248211 | dxcompiler.dll
1444C9ED9E695778771E4424E6C2A98D13B43B96 | 1FC97F98FDE6421E9584B7821135CD3EDBDAADF8 |   20067744 |  3145728 |  1061885 | dxcompiler.dll
350C6C3526CF22C7F762E5D0901C515A0210D58E | 3E792AC2265F44C160053CA93BB4D84AD18CCC2E |   20067744 |  3145728 |  1137899 | dxcompiler.dll
55FC2F5EF49C6B0FAC3810AD08A13427CFC67B96 | 0814C5B96B0DD532136F3C20A333D8C11F3BBE99 |   20067744 |  3145728 |  1131608 | dxcompiler.dll
5E09C9DD478B1423F4D9F2A084903DEF4F71000B | CFC5FD669DBECF2F8E3518726433F99F102DA7E9 |   20067744 |  3145728 |   802750 | dxcompiler.dll
86C7288457C9B932099F5B34402559B16D68E57B | 99840388F222FA5227398959E4546FBD6442C6D7 |   20067744 |  1193376 |   452302 | dxcompiler.dll
6FDCC3E56A4FA43F497D69FA3A644177C7C39D9B | 75135991D81F344CF26629CA72AC760F3C3DD3C1 |    1526184 |  1526184 |   596486 | dxil.dll
2D654AC7E7DBEB8DDA70A2BCB35F68769841455F | 4C7E330AB1C43EBD6300D385A7C8B485F9E3292B |     589632 |   589632 |   181665 | upc_r2_loader64.dll
1E9EB5A763DA9AC94C6F10A023B7B3BC0FCCD91D | BFC24E4FF72222F70D7BCB80F636D078795E1ED3 |      60600 |    60600 |    30187 | xinput1_4.dll
E8173F1E550C28C711EEAE9ACC9E591401147A5B | ACBDD4D10F1A9976C8C09C272704DFF3E054C545 |     206880 |   206880 |    98313 | dstorage.dll
D18D400F5AC454149EEB2797AED6B6324F944618 | 5C427839CC1D613DCF2FD68E09B3BB61427C20AF |    1458208 |  1458208 |   416542 | dstoragecore.dll
2BDC6E5E0768AA95CA3CCFA50D109C807B5504CB | 0A1191938527DFF3F8C02786CF2B8A58CF48EE22 |   77771112 |  3145728 |   633128 | libxess.dll
781BB6191290099BD0F91D82D4AA29293DB16B61 | 7C2222E1A231E2A859A998C9DD94D813386F4749 |   77771112 |  3145728 |  1414117 | libxess.dll
059A179B4586D2086D66321D9A8D6BE0DD3D6F99 | 4E4666CB9F5B7D28F56F5A6FA89360426E6E3F99 |   77771112 |  3145728 |  1546806 | libxess.dll
B6E7CCF72285B0B95F1E7C5C0EB7E20D806D0520 | 132C15D98DDA0516D719E29C727A3A3DAB1E1CF0 |   77771112 |  3145728 |  1421080 | libxess.dll
9129254858ACEFF9CBF9DF095227F55EEDD6B781 | DA18F139F69367B06A31E7DB753CE7A81515F262 |   77771112 |  3145728 |  1769353 | libxess.dll
A04874CD07CB87F95EB28C46A4CDB85E97C3456F | 378EF57997A41E511ADA90230E755EC1C0900B04 |   77771112 |  3145728 |  1768927 | libxess.dll
A711BDFBE06F2A3A5BAAA12B57549D6E912ADE7F | 9BDA7B482CA61867A7C2D2F56193325EBE053FC5 |   77771112 |  3145728 |  1802772 | libxess.dll
9078E4A8CEC12F18DD05F61C1F97F4A96B48625C | E3A55B4735981DACAA47575BA3ED6E2416BCEA79 |   77771112 |  3145728 |  2171105 | libxess.dll
29DB93C17447121C238101C451C6F1A50FD0AA96 | 5A35327D5DC9814CB5AFD12DB69A8CCB9E124B7A |   77771112 |  3145728 |  1439572 | libxess.dll
C23C3577057447CF19ADD252EA7970886D21925A | 8BA09AC6456588901DAA8D5E7F5E70EFAA3C5012 |   77771112 |  3145728 |  1488966 | libxess.dll
492ECA5F72A5488C6ED62902280AA5B9BD8E31EB | C1FD4C6816CDF9F3676EAE22AD1EF409EFB1B921 |   77771112 |  3145728 |  2798003 | libxess.dll
636D68D7A5C509A4FC67E795D2005564BD02174D | E3CF2CD60313B17603F9CCE25AF406B5D0437D83 |   77771112 |  3145728 |  2792860 | libxess.dll
1E902AC2B8AE4F8A0423872E90ECA9BFF19D05DA | B1A656BB6E9BD57BE388E3AE071CF7C652B2D103 |   77771112 |  3145728 |  2701756 | libxess.dll
180AE432084A7F85C24601D04A8D2278CF47AFD1 | 5231196247CBF4516DA7909EEB124D0D6EEDAE44 |   77771112 |  3145728 |  2796864 | libxess.dll
533A4A13BCF0E0BEAF6498F9C404011203397C96 | AD61BCF861BA1390EBB9F90D221D54A7E6796516 |   77771112 |  3145728 |  2823972 | libxess.dll
460029AE165729E796B2E9495E09BFE0463B0E42 | 3FDA4D8382227EF54D2FC4E491B6A30F01BEA375 |   77771112 |  3145728 |  2735716 | libxess.dll
506C806912B84D0AD74F884996C6DE95BD050FA7 | 9C5B7C6BC0FCDD860911E60CDA8547082C4CCFF3 |   77771112 |  3145728 |  2866979 | libxess.dll
2633A3FB9C64DC6C5FE88A54F1D716A49BB68C30 | 96F5C80EFF64D60B8C665986904D27691800CECD |   77771112 |  3145728 |  2624179 | libxess.dll
CFC23741F87EB7CA2BDEBE4DE3FC42BD900699D3 | 19AE1B07D9F51B685E39A820EC920C791C828981 |   77771112 |  3145728 |  2731920 | libxess.dll
A460834A0DB535E38E6657233461EF225D20B83A | 4589211C812161809D360FFC294AB0346332A843 |   77771112 |  3145728 |  2603811 | libxess.dll
62E22779F1DE13F551FB691B838355E377243708 | C530A6597E7A6A31BA9B6E5080C5B50A3B89B084 |   77771112 |  3145728 |  2506353 | libxess.dll
2FA4461477EFAC4AD2B28A6C21BF1448287BEBF6 | 1E5F8DEF40BB0CB0F7156B9C2BAB9EFB49CFB699 |   77771112 |  3145728 |      116 | libxess.dll
2FA4461477EFAC4AD2B28A6C21BF1448287BEBF6 | 1E5F8DEF40BB0CB0F7156B9C2BAB9EFB49CFB699 |   77771112 |  3145728 |      116 | libxess.dll
2FA4461477EFAC4AD2B28A6C21BF1448287BEBF6 | 1E5F8DEF40BB0CB0F7156B9C2BAB9EFB49CFB699 |   77771112 |  3145728 |      116 | libxess.dll
28E378E69B957C1FDC3531DB342F0844F29A1669 | 08F2FE48A522010FC342110084748A85B81487C4 |   77771112 |  2273640 |   218924 | libxess.dll
ADFCFE0031002918C63530A3955E6FB6AE1F778D | ACBA42E6B11DBF4248C8070F18C546E3FF6DD3C3 |     891568 |   891568 |   242620 | NRD.dll
904145F61A424BB509F7250C55B8E03E4E49416F | B42CE2114325C37D11D32F31765294EADE57CD6B |   49012784 |  3145728 |  2030966 | nvngx_dlss.dll
B2F75569A5CB6221579CC345A57942094F8C2C0D | A1DD0F610138F560DA82793A1FA1C3AF50CE9D00 |   49012784 |  3145728 |  2316485 | nvngx_dlss.dll
844870FA7D0B7A6FB340CF58E689DC94DE7F3A21 | 94FE234CF382E2A942046961B2AE136294155C2B |   49012784 |  3145728 |  2312638 | nvngx_dlss.dll
54A7189DA08CC1791CC209994B96DD0929BF50F6 | 83AF9EE5CFCC24D1699868033BB539727872837B |   49012784 |  3145728 |  2844139 | nvngx_dlss.dll
322FD8F1B7DFA22681A35B2549DCE6D516B25097 | 25DC62DC008887454AD48B5A3E22A2EFC70FCA70 |   49012784 |  3145728 |  2953416 | nvngx_dlss.dll
545662FA4221D0F84004C7F1D1D5857EC9376853 | 6337BFEFAB5DFC3E8238FD4C438E60A0B426AA03 |   49012784 |  3145728 |  2943294 | nvngx_dlss.dll
D3123D444D21E2BC0889BA26DB573F9DDB5C07D8 | DAFDAE0242D56F54A24242082ABB6D2CBDCAFD0D |   49012784 |  3145728 |  2927963 | nvngx_dlss.dll
E934351AB2244669BA7A1E384D8558243BC34D5C | 50FE7DA423F0126C522FFEEF22FBEBD71D9D9595 |   49012784 |  3145728 |  2927025 | nvngx_dlss.dll
074CA32BAEC21D0F97A402E0D441282E40628073 | D4205915C3D9BCCB26909B9658645A086036748C |   49012784 |  3145728 |  2934221 | nvngx_dlss.dll
45BB5AEC645A511A117D752E84792F0416E8F8E1 | 42E0EFD53BFF00055760D87D72B8932CFCA06C2F |   49012784 |  3145728 |  2930023 | nvngx_dlss.dll
D0B69FBB7DA2F9CDE526A72C0C163A7C1B3FA4DF | 7F4DE965F671A11F090BDD557919AE56BC4567A1 |   49012784 |  3145728 |  1601128 | nvngx_dlss.dll
F460E0019FE334A9CBF7E749528F99D99C8BA689 | 2F830B6C9BF40B5716CBA395A2227DF93215E2B1 |   49012784 |  3145728 |   625852 | nvngx_dlss.dll
D548DFB3204A1B6B7FBEAFD4335146C4A576DC9F | 2C158297CB25062E90A14CEED17E94DEA63CAE85 |   49012784 |  3145728 |   794783 | nvngx_dlss.dll
372482F1670FC86085E9B02F27DBF3A42730384F | EA627CD02770E0AF4928625F3DAFB07E1BC955E1 |   49012784 |  3145728 |  1047825 | nvngx_dlss.dll
D95AE7CC48DD814FBAE1C2C128260A510FEDC029 | 85AC0F02EB8D0D3B882139EFFCFDA7317C29312C |   49012784 |  3145728 |  1071688 | nvngx_dlss.dll
561017E891215245EA0518B592F996381C43B55A | C9BA66C215DD2CCE0BBD7E753464F57AAAA1CAD0 |   49012784 |  1826864 |   542867 | nvngx_dlss.dll
2DA6460FD87152B7AEFCAB0C5458CAE14E90CA6D | DC31E6559DE9ADA76F9121C81E570F495A77D5F4 |   72997408 |  3145728 |  2033394 | nvngx_dlssd.dll
