Total number of files  : 28
Total number of chunks : 4
Total size of Files    :       3423740250 Bytes | 3,189 GB
Total size of Slices   :       3423740250 Bytes | 3,189 GB
Total size Downloaded  :       2459759884 Bytes | 2,291 GB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: base
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
D80AA8D3619070B83ED9CE7C0597F9153297A47A | 129E8EBB82C119B7A12B0B8EFAF859FADF3AFA43 |     436032 |   436032 |   169063 | upc_r2_loader64.dll
F5E33C53F28022F0F4EB5B3CC94644BF1193CEFF | 652A9D449469FC9F17B072D6536FC52F8B25DF41 |     641024 |   641024 |   288384 | libwebp64.dll
2E7FF11E22A83BD564A8A60629D89AB8D81E8C07 | 1A670C8FA69A4E3902052E62471D1DE7A122EF30 |    1151064 |  1151064 |   624128 | OpenAL64_bundled.dll
4AF454F9A308E9F62D8B7511E99CFB08DD9AEA8D | 77279FF6489CB73F138E8438DAEC535479AC7F8C |     866304 |   866304 |   239071 | vorbis64.dll
1762A79B92863ABE35E23D2361669D67943EAA4C | 1865A0F245BDBB4E40A1E6427B6CBFBA8584158F |    4346120 |  3145728 |  1301484 | d3dcompiler_47.dll
E78D346C80712BBAFAD3DAF32D8DA3391AC36C11 | B7DEDB0707C163BC3F81389DDC77F479A5CEB3D0 |    4346120 |  1200392 |   308439 | d3dcompiler_47.dll
3AC98B5E6AA0E3FC08BCEE1FA8922FB1432F5C7F | AEADDF04C66AA06C4D8B68E41B2A6038E3C6EA7B |    3420080 |  3145728 |  1358584 | anzu.dll
0507A9472EC6A6F37E6C25DB97C4DB6A0697A862 | 4BD6EC0107F4818DA7783D7AA483A6E2780E8F7D |    3420080 |   274352 |   105533 | anzu.dll
4538762B62BFDB30405286036853B40F3F5CAE20 | 99722BF8EDF41733BFEFE7D9170C12AF77EA5974 |   12441688 |  3145728 |  1219684 | vivoxsdk.dll
13A4234E78903D42271D4F7F16811F893099B034 | E2E92C0BAED7A78945D87272078D65EBA4460B41 |   12441688 |  3145728 |  1950958 | vivoxsdk.dll
24D8D1AEEF7B183C06AF01F37A50624BB896768A | A18781FB395DC7E8F20FBAC7A8069D339E75CB58 |   12441688 |  3145728 |  1878246 | vivoxsdk.dll
E9E173E72C21DFA777104AA3927AFD23BF62FA39 | 06CBE790DE5E8EB4FD1414E31AB79C7E0E815AEA |   12441688 |  3004504 |  1786746 | vivoxsdk.dll
D5F75DE99C60E9B89E6834A67BE5200A444328B6 | 86E38580E8215E4F787B6A02E6CB98B27B2A147B |    1297112 |  1297112 |   501232 | VoiceChat.dll
018372AEDE2E433327DAFA60A3221BB10E88A0BA | 0FA28EA42A3852A84A9F0C2BE3754BA0FEC0535A |   44687616 |  3145728 |  1186432 | Trackmania.exe
59DF9A9C6D1A3DD9924D3BDAFD72CB4F32335A0B | 4DB243F4260564B0963AAC8EABE301E041A3C917 |   44687616 |  3145728 |  1218223 | Trackmania.exe
3FCDC4E7B13F5D644E529412DAC83B6612370F02 | 19575695F1CDAA7351C36520AA87EFBCCE8115B1 |   44687616 |  3145728 |  1373172 | Trackmania.exe
2C69427E15465A17E20D533B27CE89DC55E128D1 | D96E7B069DC74F5DCFDE35FA0F3C260836890479 |   44687616 |  3145728 |  1356371 | Trackmania.exe
7D2732DFF2F32634B72526C8CF8ADC6C26EABEC0 | 5AA90D2A536C742A22809AD81D0FE5D2516BA199 |   44687616 |  3145728 |  1280570 | Trackmania.exe
DEABA70E28CBB19B924DCDFA181CF669B33AC9A6 | B5DB5A845A66811E64F47504832044910E138330 |   44687616 |  3145728 |  1258669 | Trackmania.exe
27101B77757636D949F5D97C4D95DDCE7B390733 | CAEB94CD58F1A547E03E64E59E52D6002BAB5C7C |   44687616 |  3145728 |  1383145 | Trackmania.exe
8A4702A408C09CE52CEB6AC56122CBBFDDF5E1D2 | 1BD8D6089B9947C191641975B04CD17FDDB03FB8 |   44687616 |  3145728 |  1254366 | Trackmania.exe
21C2F8EA64AD46DA6664820FBCD16F6B9602236A | 32905F763A554C6EDF4A6B9D11F224CC5E61C522 |   44687616 |  3145728 |   991095 | Trackmania.exe
4AC37848C6215011178CC2D7E049A9D5FB101C44 | 2DD77F7F1A322F89CCF20555A9E3EC9FC3AE8D56 |   44687616 |  3145728 |   876703 | Trackmania.exe
EF456546BDD19DF39A2D8A016C75D1B4EB30D056 | 255D54FD99F0BED904ABF791953D3970F8E15200 |   44687616 |  3145728 |  2149070 | Trackmania.exe
BA754B0CF84265251F3011AB1E3ACCC94A941F2F | 5F165583DB52464C9CBCE7624A50B6B8AF9E65C0 |   44687616 |  3145728 |  3036698 | Trackmania.exe
4674652AF9A3BB3ADB1F7EFF558B563E43FBA8D9 | 25BFFC829AB15AEE2CD67034C25D6C16AB605558 |   44687616 |  3145728 |  2628596 | Trackmania.exe
6BC26A6478C74911B8BE432F5B0666A446DAD133 | 712485AE1B67D19F03E92E9BC3CC9399B181727B |   44687616 |  3145728 |  2117919 | Trackmania.exe
9096C409B432AC0D59AE3E370DD59B46A4BF71B4 | 8821293151086EAB8307F9F7BE538B366F2C3D30 |   44687616 |   647424 |   171340 | Trackmania.exe
657A0B2CDA56AE9AB776647D763655C46FEB82F7 | EDA7D2AFBA19A9F7E4C364DF8C9999232C611111 |        256 |      256 |      184 | Nadeo.ini
76777569538521B4B8D85D37E17C31EBDD005077 | 4EEF83389C2D8A6D2885432A680F5481B5C66745 |      82909 |    82909 |    22314 | GameData/GfxDevicePerfs.txt
34D0D35CA79B43C8BC8B0CE15CFA18D210015D60 | C70AB8A5F5C1B027C0A329284503AF4967D02E25 |       3664 |     3664 |     1241 | GameData/updater_files.txt
