Total number of files  : 28
Total number of chunks : 4
Total size of Files    :       7022393063 Bytes | 6,540 GB
Total size of Slices   :       2727425767 Bytes | 2,540 GB
Total size Downloaded  :       3253453584 Bytes | 3,030 GB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: base
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
D80AA8D3619070B83ED9CE7C0597F9153297A47A | 129E8EBB82C119B7A12B0B8EFAF859FADF3AFA43 |     436032 |   436032 |   169063 | upc_r2_loader64.dll
DAD28CDD2C2812D4CE5065CD0C1A75BB9055C92A | 2CAB7FA07277C42DFCD8A63948AB467C8BBB4298 |     690176 |   690176 |   314362 | libwebp64.dll
543ADC5F11263E8AA82C633A7BE652B4C1E3FBA8 | C4039DC6EB18A544327688D0C44DBC6387C02805 |    1446928 |  1446928 |   671073 | OpenAL64_bundled.dll
4AF454F9A308E9F62D8B7511E99CFB08DD9AEA8D | 77279FF6489CB73F138E8438DAEC535479AC7F8C |     866304 |   866304 |   239071 | vorbis64.dll
1762A79B92863ABE35E23D2361669D67943EAA4C | 1865A0F245BDBB4E40A1E6427B6CBFBA8584158F |    4346120 |  3145728 |  1301484 | d3dcompiler_47.dll
E78D346C80712BBAFAD3DAF32D8DA3391AC36C11 | B7DEDB0707C163BC3F81389DDC77F479A5CEB3D0 |    4346120 |  1200392 |   308439 | d3dcompiler_47.dll
EE7F2F2047084DBEB83921B86636103810B825CE | D6C1A84A79A188490D42DF96578C09FB5B2949FE |    3930968 |  3145728 |  1341900 | anzu.dll
BEF45F29C21115E96C8BCAED1D42E360EE3AD8F5 | 7EC745FEF08470552D730B6C41364E39F2039B21 |    3930968 |   785240 |   289067 | anzu.dll
4538762B62BFDB30405286036853B40F3F5CAE20 | 99722BF8EDF41733BFEFE7D9170C12AF77EA5974 |   12441688 |  3145728 |  1219684 | vivoxsdk.dll
13A4234E78903D42271D4F7F16811F893099B034 | E2E92C0BAED7A78945D87272078D65EBA4460B41 |   12441688 |  3145728 |  1950958 | vivoxsdk.dll
24D8D1AEEF7B183C06AF01F37A50624BB896768A | A18781FB395DC7E8F20FBAC7A8069D339E75CB58 |   12441688 |  3145728 |  1878246 | vivoxsdk.dll
E9E173E72C21DFA777104AA3927AFD23BF62FA39 | 06CBE790DE5E8EB4FD1414E31AB79C7E0E815AEA |   12441688 |  3004504 |  1786746 | vivoxsdk.dll
8D534D9297F8045103970949DEE2241DB17FB8DD | F501644680655A4E706A322D1247F35864E36389 |    1298648 |  1298648 |   501905 | VoiceChat.dll
C4BF1D3668E9A3B48908895CACBCC77C49B7EC7C | 257B582D77335B4E33376CDAA518E3C94FC98CE2 |   45191184 |  3145728 |  1176130 | Trackmania.exe
08086D8D30E1EF4C49F0371DDE9C0C9523AC51AB | 5AFC64ED5781F8254861BDD35C8153735C66A870 |   45191184 |  3145728 |  1186759 | Trackmania.exe
7DBC8C00F180EF236AD6DA062C438DA4A8022630 | 39C0BE9ACD3F4F9496C3924D29A5CAF27A6EC403 |   45191184 |  3145728 |  1360199 | Trackmania.exe
2F7E0A83414B4D2AB6BF755FF9CC2805C948F600 | A0BA8B484705D9E10344AE5E14C0C5CE05DC6ABD |   45191184 |  3145728 |  1389706 | Trackmania.exe
E806CF77132F21D6BA4DD41127B85A6573B65871 | A7C45C9AE83E1D1A1B7095B2AE56808EAC7C5505 |   45191184 |  3145728 |  1284029 | Trackmania.exe
27015A52C623419245C80475EED7555676F70063 | 6C61E4312707099B3EABE1D00B9A8D3124118A3F |   45191184 |  3145728 |  1269537 | Trackmania.exe
D86609C2525EE532EB380B29FC43B3B2E4A85C2F | 7801BADB9B0AE74C7174308C31E63EC9315D8FF4 |   45191184 |  3145728 |  1383193 | Trackmania.exe
4E6FACA4F54B31A7ADEB3709EC8849260BBCF7AB | 4BB337756A6F60199B2EA73EE1A62A5E055D01EB |   45191184 |  3145728 |  1224818 | Trackmania.exe
2EDDB7B3AB2309B02214DD04290939A394CC4B60 | D6030B9A92308A33A82BAD1BEB84D647D6203904 |   45191184 |  3145728 |  1091527 | Trackmania.exe
58BEDC7483A46E2CEEA0F56BF0F3F4827EA978ED | 10F97C559B9EF08031E5418B50532307372375E3 |   45191184 |  3145728 |   859262 | Trackmania.exe
C51CC206280D6A1723056801F073941F0BE7112A | 5B7ED8F4CFE1E21EB837A998B4866ABF04F794CB |   45191184 |  3145728 |  1859457 | Trackmania.exe
AA5B626EA4D9A893150497BDF844DAE0670A237E | A9123EE19E95722BCE5F216024E38316CEF3E13E |   45191184 |  3145728 |  3004446 | Trackmania.exe
ADAF1C9293E9FAB441DD955FDF59077B53B11A66 | 37497F7FDC9B101D26EC43049D84D48F44966D85 |   45191184 |  3145728 |  2590217 | Trackmania.exe
2106D357DA4B9AADB214CF46B71785D14CBC0065 | 846A9291852563F64F55A00586F0954A2AC67C1D |   45191184 |  3145728 |  2379814 | Trackmania.exe
5F9C041753F369D0052E3D0BA444181EF5A237FD | AF5E5DB12B884B410A91303CF1BF8CFA1BDB27AB |   45191184 |  1150992 |   404142 | Trackmania.exe
657A0B2CDA56AE9AB776647D763655C46FEB82F7 | EDA7D2AFBA19A9F7E4C364DF8C9999232C611111 |        256 |      256 |      184 | Nadeo.ini
76777569538521B4B8D85D37E17C31EBDD005077 | 4EEF83389C2D8A6D2885432A680F5481B5C66745 |      82909 |    82909 |    22314 | GameData/GfxDevicePerfs.txt
C3A07E0D62BECC99B39089EAEFA06A319A15A054 | B10D9B3765057CFCC087520F975FED60ABE7E7B3 |       3665 |     3665 |     1248 | GameData/updater_files.txt
AD9835FA936E2644E90F5E1B90CCE46352006731 | CD3BDCB9051A2ACEF6EC7C698A9FC6A944F34675 |   17030895 |  3145728 |  3111260 | Packs/GpuCache_D3D11_SM5.zip
BA6E4A9E1985C9656AF6B25CC26C77B17BABDFA1 | 2AE8A4F5A15CD11658B80E219FE0AB299C29D722 |   17030895 |  3145728 |  3144277 | Packs/GpuCache_D3D11_SM5.zip
96C42609175FAF9055644D9FC48EA0CCD3ACB644 | CD1FC31868E3BCEFE72AD2FF42B2352DA1C4570D |   17030895 |  3145728 |  3145812 | Packs/GpuCache_D3D11_SM5.zip
FC5304F78327A8106B58947E1967A658BCB632DB | E2B7858F2A364D2F8BEDC6CD05E100DFDF8B23B4 |   17030895 |  3145728 |  3145074 | Packs/GpuCache_D3D11_SM5.zip
537E251923BBB471E247204A8A64DE583856F64B | C5A4C65CEAA3B744E6D19248E1DE5B543BDCC6E8 |   17030895 |  3145728 |  3133629 | Packs/GpuCache_D3D11_SM5.zip
