Total number of files  : 28
Total number of chunks : 4
Total size of Files    :       3459747847 Bytes | 3,222 GB
Total size of Slices   :       3459747847 Bytes | 3,222 GB
Total size Downloaded  :       2567180588 Bytes | 2,391 GB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: base
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
324B761242FFC2E9718ACA2DDD2AA1720377F007 | 630019D389BC1E3B0119CE2AC42EC98994D21224 |     436072 |   436072 |   169032 | upc_r2_loader64.dll
F5E33C53F28022F0F4EB5B3CC94644BF1193CEFF | 652A9D449469FC9F17B072D6536FC52F8B25DF41 |     641024 |   641024 |   288384 | libwebp64.dll
2E7FF11E22A83BD564A8A60629D89AB8D81E8C07 | 1A670C8FA69A4E3902052E62471D1DE7A122EF30 |    1151064 |  1151064 |   624128 | OpenAL64_bundled.dll
4AF454F9A308E9F62D8B7511E99CFB08DD9AEA8D | 77279FF6489CB73F138E8438DAEC535479AC7F8C |     866304 |   866304 |   239071 | vorbis64.dll
1762A79B92863ABE35E23D2361669D67943EAA4C | 1865A0F245BDBB4E40A1E6427B6CBFBA8584158F |    4346120 |  3145728 |  1301484 | d3dcompiler_47.dll
E78D346C80712BBAFAD3DAF32D8DA3391AC36C11 | B7DEDB0707C163BC3F81389DDC77F479A5CEB3D0 |    4346120 |  1200392 |   308439 | d3dcompiler_47.dll
3AC98B5E6AA0E3FC08BCEE1FA8922FB1432F5C7F | AEADDF04C66AA06C4D8B68E41B2A6038E3C6EA7B |    3420080 |  3145728 |  1358584 | anzu.dll
0507A9472EC6A6F37E6C25DB97C4DB6A0697A862 | 4BD6EC0107F4818DA7783D7AA483A6E2780E8F7D |    3420080 |   274352 |   105533 | anzu.dll
009E692E6FA57F71479AB3F7B3C12A99E345FC88 | 3DCB48F07007829DFD91461F339F66FE816B23DA |   12347272 |  3145728 |  1224100 | vivoxsdk.dll
EE654DEA9BDC6E1325DC8D07E37EB7B7FFC99E7B | 89A7E5B48F437EB8823D781736305DC0EB4E4548 |   12347272 |  3145728 |  1979573 | vivoxsdk.dll
C1BD0C1025E1F49140EC236E73CCC565C8835F37 | BFE57952D04CE9284EB79BE704135218CE33A3FE |   12347272 |  3145728 |  1902147 | vivoxsdk.dll
39B2606E6803C4CF688FFA8D789DBF77E36719C3 | 6D920013379DEC9EC82C488A62E1E5C23716235A |   12347272 |  2910088 |  1710720 | vivoxsdk.dll
65C6D3406017FB770D3D495CC5979431728E43FF | A98133F16F7AA10F11BA05F54CEA4E78A4C2F900 |    1276120 |  1276120 |   494567 | VoiceChat.dll
73CE37A55A6C6AB71F9D9488389E9F411130A546 | 65D445ED3597970585C7FE0064F617ADD9A0A799 |   42461952 |  3145728 |  1167152 | Trackmania.exe
AED4D7463ADE1AA54218F2E6E022A10E6958CDF7 | 5A3A3F6094A4763057F5DA4D4CB604A975630DDC |   42461952 |  3145728 |  1253897 | Trackmania.exe
39D6221CBF71F27C05773954D2959CE1239915A4 | 5922060C3678085AAC80C589344C9C6478357541 |   42461952 |  3145728 |  1370618 | Trackmania.exe
D30458C4C8418BF69360FBA2AE550AB9AB8BB264 | 5AED67CB0E4FADDA1DA2C9AC2F4BC6164D3994A2 |   42461952 |  3145728 |  1355244 | Trackmania.exe
290E0BD7D10A18DB94443216F3138BDFFAB15266 | 4259D3CFBAADD0E267FAD9BBF404C1F4334B86DE |   42461952 |  3145728 |  1285917 | Trackmania.exe
7C1A783B19F9C69F702F28B242655D046025485A | 7CB0B63F2C01F2A719F1DACD35DD76C995971764 |   42461952 |  3145728 |  1276476 | Trackmania.exe
0315DA8FBEF570C2796D10B4F248301AD3869862 | B6F0F8EF6E2AFD2FDDF85A5153612A936CEC06F4 |   42461952 |  3145728 |  1391654 | Trackmania.exe
D780E24561A85714B90B96887693FE8EA821494E | 22D6AA97D40EA5A4E0598D9B1A069A3CEB6A04F9 |   42461952 |  3145728 |  1311148 | Trackmania.exe
259BC1E342E304043CA442D136191EC94AC08602 | E4B66126A263103FEF26673394E7E02141843227 |   42461952 |  3145728 |   812477 | Trackmania.exe
F553C62FD5189B509A4C4C8E5FE14AD729EA02DB | FD4907DB5B46033A1DFAF9C14AA82E8FC30C3A9B |   42461952 |  3145728 |   755125 | Trackmania.exe
C0EF825426DADE7E78268D990359F3CF8D31B1B7 | 7DC2BCAA93FF09FE2782E010EFE74E39F5400CB8 |   42461952 |  3145728 |  2843342 | Trackmania.exe
602D29B15D19BAAF3CCC00DCF7A35A235D9C607D | 633DD7BF1FD8B6C2DDD5BF9D4757C16C15209499 |   42461952 |  3145728 |  2841136 | Trackmania.exe
9179CD727C814E0FD1C552A09A5963EA22051BBC | 9044F97AEC6D203395AF0D32CD53C43513B8C6B3 |   42461952 |  3145728 |  2278879 | Trackmania.exe
02E73BBE69871E094C2C64F40B9DDB89E088F097 | 68B1AE87BD60D6BDD355DC187C4EFEA068E8DBAB |   42461952 |  1567488 |   590478 | Trackmania.exe
657A0B2CDA56AE9AB776647D763655C46FEB82F7 | EDA7D2AFBA19A9F7E4C364DF8C9999232C611111 |        256 |      256 |      184 | Nadeo.ini
3BC711A4FDC1C01998577E888A6CCD728DEBC39E | E011EF05534DBE53759117026B91BD794D51D9F8 |      83959 |    83959 |    22453 | GameData/GfxDevicePerfs.txt
B73D2161B70F572F4956AD4878E0E584B8636BC2 | F1024C13B99AB69805B8C3AE7D6A9083E1D5AD0B |       3664 |     3664 |     1235 | GameData/updater_files.txt
5C5386453127506A3C86A307BE158532000A095B | DB14C7E683802A4AE66C6A9D3544C02765B8FB71 |   16614308 |  3145728 |  3111912 | Packs/GpuCache_D3D11_SM5.zip
5C841CF64C42666094C57E72C9941F3E631CB15B | 7636F99B79C984B522B6840E016F75887E3C724F |   16614308 |  3145728 |  3144591 | Packs/GpuCache_D3D11_SM5.zip
63DBA4C0E8DE233C785BEE4BA8402F3E49AB7840 | 1BAAA298489AFCF65F72F42C306112B4D1BA388E |   16614308 |  3145728 |  3145812 | Packs/GpuCache_D3D11_SM5.zip
16A58EF1E2FD1ACE65D3A8E6BDAEC4621AB62D5B | 3FBB6BBB3A7051E29C073C8B2C4DDD904ECE7EF4 |   16614308 |  3145728 |  3145812 | Packs/GpuCache_D3D11_SM5.zip
A044CCDEA07E50E7665A01B77AFE5783F7E15EA9 | A66F3290F6D025E69F6C85FD2745AB02BB5EC9F8 |   16614308 |  3145728 |  3134240 | Packs/GpuCache_D3D11_SM5.zip
B91F96CEEE6B7C4561833B30E9AE9AE84A785253 | 843D9A67284E90DC4A5E9BCDE760AD67279770A5 |   16614308 |   885668 |   790727 | Packs/GpuCache_D3D11_SM5.zip
412A632616C36A091EB9CCB3E2C9210CC59150C5 | A95857A074463CD44797022DFA18E1E9CB3E20D1 |    6113701 |  3145728 |  2941813 | Packs/Maniaplanet_Flags.zip
0B553BE9B13379F826AEE376991D3E1E6BDF6B57 | 0A486C4DBC3EB5C103A63AE6069833D5735172CD |    6113701 |  2967973 |  2727450 | Packs/Maniaplanet_Flags.zip
477F39DA3C8617D1AA49E7DF7664956FEE935B25 | C2DED1E90869A208139924A0DBDB87F1799FB073 |  169196168 |  3145728 |  3145812 | Packs/Maniaplanet.pak
5D2BF150C131A5F23C2E3C8253EB2667134D2817 | 8EC536A3DEFFCE30DB3C35058A2456F516CFD4FD |  169196168 |  3145728 |  2793707 | Packs/Maniaplanet.pak
