Total number of files  : 210
Total number of chunks : 1
Total size of Files    :       1790082792 Bytes | 1,667 GB
Total size of Slices   :       1790082792 Bytes | 1,667 GB
Total size Downloaded  :       1665462274 Bytes | 1,551 GB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: 1, Chunk Language: , Chunk Tags: main
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
FDA49A32FE208BD35728EE0E54CBEB378CD38A3F | 023A8DC8E8869EFE8B6A5EB6338031D7C24DA102 |     111616 |   111616 |    53098 | amd_ags_x64.dll
4FF19C6F84543CD43BF3385C2E1EAA230A7E2A5B | EFF2D4FF97E2B8D7ED0E456CB53B74199118A2E2 |      12224 |    12224 |     6163 | api-ms-win-core-console-l1-1-0.dll
8AE730A76882CB74F2387D2C63C2FD7A771C82BA | 4A7A7A99900E41FF8A359CA85949ACD828DDB068 |      12224 |    12224 |     6199 | api-ms-win-core-console-l1-2-0.dll
95F774E47C764A8307C34B43BF2E10445BC260F5 | 60CF810B7AD8F460D0B8783CE5E5BBCD61C82F1A |      11712 |    11712 |     6002 | api-ms-win-core-datetime-l1-1-0.dll
2EB3BE0FEED89AB4DC96181A4FB073122DDF9DE3 | C1A4CE4DED47740D3518CD1FF9E9CE277D959335 |      11720 |    11720 |     6031 | api-ms-win-core-debug-l1-1-0.dll
AED77B40B4A1920E0F9105C2B8A38F2115460B80 | B0BA0C4CF1D8B2B94532AA1880310F28E87756EC |      11720 |    11720 |     6067 | api-ms-win-core-errorhandling-l1-1-0.dll
F85CDC361FE9072C94132C17D9FD0C6162C1CD74 | 04B3F21CBBA6D59A61CD839AE3192EA111856F65 |      15304 |    15304 |     7017 | api-ms-win-core-file-l1-1-0.dll
D3B9C779084B45FE779E4629BADFDF06BC560A97 | BBCAD0148FF008E984A75937AADDF1EF6FDA5E0C |      11712 |    11712 |     6036 | api-ms-win-core-file-l1-2-0.dll
EB5114F496D14847497E637D5C1AC858F4DBB61B | 89B28107C39BB216DA00507FFD8ADB7838D883F6 |      11720 |    11720 |     6165 | api-ms-win-core-file-l2-1-0.dll
5D282EE1E70035FB1CDD3F661E041FDA802FAEFE | 3094832B393416F212DB9107ADD80A6E93A37947 |      11720 |    11720 |     6045 | api-ms-win-core-handle-l1-1-0.dll
