Total number of files  : 4365
Total number of chunks : 1
Total size of Files    :       3918557631 Bytes | 3,649 GB
Total size of Slices   :       3918557631 Bytes | 3,649 GB
Total size Downloaded  :       2877553114 Bytes | 2,680 GB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: main
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
643D665818FD28903F34DB915CA3543CF03831AB | 1FFEBBCDEF78B74592BA4FD554AB44275EC7F253 |     404728 |   404728 |   184103 | baselib.dll
1C598108CC604CBA495FD8713C9D600D2E40160C | 9AFCD65FBE7112F2618B46E5646E2BAAA455CE40 |     550400 |   550400 |   274943 | ChampionsTacticsGame.exe
2417F29E9E38517AD098DF79E4C18EE551C266E3 | C3A25B4346E9519D83B6EDA1EAA39F59CDE77891 |   57832448 |  3145728 |  3140707 | GameAssembly.dll
CD3FDC3490FA47D66DF781CA8F808128FC296E25 | 72B0C009C448B51D755FA2B32B1873ADF32CF1C4 |   57832448 |  3145728 |  3145812 | GameAssembly.dll
9C8FB4CE1D0DD481E42D6C243BEC900694801456 | 1522155166BA8FC7B646716FBAB2B50D684D2B7A |   57832448 |  3145728 |  3145812 | GameAssembly.dll
545B5A3330853A3B5FACF23A71630682931834BF | 65B6845353DCF93150A01C342F59466FB179AE35 |   57832448 |  3145728 |  3145812 | GameAssembly.dll
986BC508A1A9194BB3A8AF442B41E344F0321550 | 7129AE9E51A76AD9D47F540C8472C1145E4B9A45 |   57832448 |  3145728 |  3145812 | GameAssembly.dll
27050DC3637ECA43D07C1AA5B86C28235EC21C7C | CF8E023BAFABA45C114D84F0927A730FDB51E47D |   57832448 |  3145728 |  3145812 | GameAssembly.dll
0FFB0FDDFEFB244EF4906E6D411FB7FAFA041F0F | 71962E4570A7A9D770649B0E6C5B5B85EA7B5310 |   57832448 |  3145728 |  2435590 | GameAssembly.dll
E08ACE486E43B543694E44C6CED7B2F1155F97BE | 25F741C5801C6CC138ECC388AFA096A941C68678 |   57832448 |  3145728 |  3134727 | GameAssembly.dll
8D82CA3920C2E21C75F92953E6DF0075236B7B4A | E9DFCF235034BCED6ECDC5EE12A594E0189E45D8 |   57832448 |  3145728 |  3145812 | GameAssembly.dll
74CD4291888C70EC4A1CBF50B215E25891DD5E17 | 464C8C193A1B1CF12075247E62405398B697364A |   57832448 |  3145728 |  3145812 | GameAssembly.dll
3B14E9BC1195D799A2995D62777DFAFB256F5359 | C337598A41CBC9B55ACD2D779968E0C5400CF8D4 |   57832448 |  3145728 |  3145812 | GameAssembly.dll
3B491D5036EE86A3E04A1EA935710983EBE52117 | F023BB96172205D2B6B6047C920B77713711F493 |   57832448 |  3145728 |  3145812 | GameAssembly.dll
CCE16998C5763EE36EFE50D6695B1C9C4001CB4F | B77B493724B0547916628F079F23AE36E89B4671 |   57832448 |  3145728 |  3144940 | GameAssembly.dll
498323265EC9F10EBCA8A1192F18A4FBF3FD03F3 | 8159464D863D3474AE47B342D795C54E204BC8C4 |   57832448 |  3145728 |  1104647 | GameAssembly.dll
7C54337F9E7DE0FAA1808434D8C3C758930C7C2C | 6AF59156B894C9B4F952B7FF42368876EBDFA7BD |   57832448 |  3145728 |  3145812 | GameAssembly.dll
A16198D192F9F845D1DE262D857E59FA44EBE512 | F4B21C2E359ADB3AFF991E98D2E6A13CAB9E5CF3 |   57832448 |  3145728 |  2767029 | GameAssembly.dll
3BC9780046176A817E4451A86FD3AB127268D146 | 2147B0250570844D79FC7A910E27555729226E76 |   57832448 |  3145728 |  2365197 | GameAssembly.dll
DDE7ECC4B4821F3076F80389E6B9E3DA32AB494C | 722D3712C408BF58DC999C83B844C00A450A4489 |   57832448 |  3145728 |  1261321 | GameAssembly.dll
4DA8FC90B251BE16C4E414F64BB1ACBD5852C494 | 850831D86E65F8F8A6450FDD6450C67BF8C85908 |   57832448 |  1209344 |   491483 | GameAssembly.dll
2A6E740C5612E694F93FBFD62C831D189771F9F4 | C93EC7E9CB0986C6535FFEA2482E297D5D96FC6D |    1201912 |  1201912 |   407048 | UnityCrashHandler64.exe
