Total number of files  : 432
Total number of chunks : 1
Total size of Files    :        627816398 Bytes | 598,732 MB
Total size of Slices   :        627816398 Bytes | 598,732 MB
Total size Downloaded  :        364600278 Bytes | 347,710 MB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
32FBB5EC3FA8158F4F203174CA96E47188A65254 | 8E988DA461A6E64EDFFA23BA93A14A284695E5B4 |     650752 |   650752 |    67127 | osm.exe
E34803E164CE4336E9446268C42BAE7D455733D3 | 60AF712A6D117EC9E363EC4BD7516B53A00835B0 |    1094088 |  1094088 |   360947 | UnityCrashHandler64.exe
A05D919F21139011558596E469A36D18D4060110 | 451574461F1464535CC4C8BE02C077F10B56733E |   25761224 |  3145728 |  1018789 | UnityPlayer.dll
CAF3880F22EA19AA054C611AA6722EF9A4F4BCB9 | 6329BC665942A76404B1D8AAFBCFE925E1FAD101 |   25761224 |  3145728 |  1195402 | UnityPlayer.dll
6DD7A947F334B833B1FCA9D3C055F8BD8AF7DB0B | E8811ECD340069A75EDBB51664D208C45FE1B147 |   25761224 |  3145728 |  1271453 | UnityPlayer.dll
C1CBC9F2820AC63AE4CCBC1FE2AE53D44A1FBA7F | DB45F44C3974485C571E972823F861BAAA4265A6 |   25761224 |  3145728 |  1202858 | UnityPlayer.dll
99BCD8B6FD077BA13BB34B6CBBD157105803217C | 22EF9CBA35AFEEC06EFA779ACE10B90ADF8D2102 |   25761224 |  3145728 |  1265217 | UnityPlayer.dll
46D756A3AA7F9FEAA7A4E89B0C51BF0206F05105 | 0DEEFA4F3F29FB76A95FC7668BB87D01E09BF001 |   25761224 |  3145728 |  1264139 | UnityPlayer.dll
940D8EDDA924F3C954C42EC4F0DFC8E04C68D5A5 | 7EEB01596FF9D1EF1C690CD4099C121DC721954E |   25761224 |  3145728 |  1109579 | UnityPlayer.dll
6AC306CAC91D5B55638281A9EF04F2550010AB85 | BD44470061CEF5966D2B6CE9BE16FB48FEC0DE4D |   25761224 |  3145728 |  1205356 | UnityPlayer.dll
DDB6D214C0843B24EF39E068514A4C3599116297 | A72324CC6427BA2ABE4BE1381E0467F14AE3A29E |   25761224 |   595400 |   263076 | UnityPlayer.dll
ED0CF9EBB7FDB764CB53C0B52FD05ACA70FA56AE | C49530935A41A962003C6FBE4F67C7EC67324C44 |    4955592 |  3145728 |  1022917 | MonoBleedingEdge\EmbedRuntime\mono-2.0-bdwgc.dll
47AC0A137E68494901B3A29623CB9B5301965B3D | 068610D415CE9199987BB389DC8B422B96CC96A0 |    4955592 |  1809864 |   602030 | MonoBleedingEdge\EmbedRuntime\mono-2.0-bdwgc.dll
