Total number of files  : 296
Total number of chunks : 1
Total size of Files    :       1967605005 Bytes | 1,832 GB
Total size of Slices   :       1967605005 Bytes | 1,832 GB
Total size Downloaded  :        544574708 Bytes | 519,347 MB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
F60B0923A766BCE1D30BF8ECD9ADE6B84B353B75 | 39066DFF192489606A40B80F77D9BF3FB58DCEE3 |     653824 |   653824 |    51112 | Lacuna.exe
37B065B0DC9F14A7188665F8BC0D3440832A032C | B6CC9382CC972DFF0D27284B1363BF4747E0B133 |    1249672 |  1249672 |   413449 | UnityCrashHandler64.exe
A733AE6A578EC3701691168A0BB86E197A7AAC87 | CECAA0AD334DD557AE1B5F39D2619C1199785DCB |   28066696 |  3145728 |  1135845 | UnityPlayer.dll
2B8883CF22A6BF3009A08C56FF391F6DB2E5CB64 | FF297174101A8D89D1184D3114DD929A0597A3AC |   28066696 |  3145728 |  1189498 | UnityPlayer.dll
ADF4EFE733C56E6AB738813AEB3E32E52FDE1264 | 2CE55C56B3C09D2BF254B1AB50ABE46AD9DC0124 |   28066696 |  3145728 |  1291471 | UnityPlayer.dll
9B2030D434696FCA69F5C70482BB4C7CFA6547F7 | 5A1F935EEADBB0CCF16E297A5183DD40A360EDDE |   28066696 |  3145728 |  1136538 | UnityPlayer.dll
95AFF9349CC6A2445A39810BBAAA09D942C04016 | ADC3A577E09CB1AAAAB1D34CF4D5AC1A83395149 |   28066696 |  3145728 |  1020598 | UnityPlayer.dll
4EF37CF0A9EAED0AC25C8AB5A681A8E6FE722E46 | 3CAD30901FE4E6CF5BB73303FB1AC09E1E9DB8F8 |   28066696 |  3145728 |  1319148 | UnityPlayer.dll
42F4B0C0D55E569691922C141C1DE256A547EE26 | 9C695C1C879B6A1074B63641CD1EACC9E2F737B0 |   28066696 |  3145728 |  1289716 | UnityPlayer.dll
02997A2C85A9E8B494EB73580D1752E72870FC51 | BCCC9772F979D531311F6B3CAD4CCE3F9EC3B5B2 |   28066696 |  3145728 |   985167 | UnityPlayer.dll
309F98FC026060A0D077D85E8BE201A54710AAAC | CDAFCC9F46291532FC548494C94A9D19E06E9FEE |   28066696 |  2900872 |  1079970 | UnityPlayer.dll
A512D44D01197B24EB468AB7486341AFCAF59BB4 | 6A42E10E43EA65846D1A6A4E4A335CC437C7B1C7 |         28 |       28 |       37 | Lacuna_Data\app.info
DA087F8D88CAAD4217FA3F8749779BA4C4ACFBEF | E5CE7E3C3325F3378FE433BA3C643BA12CCCAD5F |        100 |      100 |       83 | Lacuna_Data\boot.config
597762E3D51CB4E4707C35F054562BB7A4EC8D95 | D1B1A8BA6AC2F7694335625877984DB117BE2AF7 |    1250380 |  1250380 |   216526 | Lacuna_Data\globalgamemanagers
3F3C7FCF8399F9EA2BDEE7446A3369802F5B9769 | 5850390BFA02D5C89F9F280CBC9010247539EC24 |     745468 |   745468 |   157198 | Lacuna_Data\globalgamemanagers.assets
BBDDC4E60570C294179589A731417FB0E0F8099F | F73C89A8C5968A44CD017DE9722016E49277FE19 |   15777660 |  3145728 |  1715413 | Lacuna_Data\globalgamemanagers.assets.resS
A4D4D674E89CB197F4890FB79AC795D706D13A28 | 5C57B71480E532DE627B07D3BB554E0AA0D35AFE |   15777660 |  3145728 |   693514 | Lacuna_Data\globalgamemanagers.assets.resS
