Total number of files  : 379
Total number of chunks : 1
Total size of Files    :      15243518254 Bytes | 14,197 GB
Total size of Slices   :       2358616366 Bytes | 2,197 GB
Total size Downloaded  :       2998487729 Bytes | 2,793 GB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
E393A6537AFEE44432DF3494719571DAD0588DFC | BFB8D6C2574694544C3555BF55A6E10583950F42 |     653824 |   653824 |   177995 | They Always Run.exe
BB0004B4D2832FA22CA35FD2439DF20F19DF95E8 | 594DC355113ABA8C96BBB014A41E941D77CBCACD |    1250392 |  1250392 |   414569 | UnityCrashHandler64.exe
6CB66F1AB4979B0672466A958971833339468B7F | 49D4E7EA16C2EE2CCD99A48F7B05EE7FD348F746 |   28122200 |  3145728 |  1134894 | UnityPlayer.dll
0495618B0E193B7DFAFB78D0D520A57FCA9DA207 | E666A92C37E9155C21C7787BB20FB96BCFF4E124 |   28122200 |  3145728 |  1187863 | UnityPlayer.dll
DB9D2BC2894242E0EA95DF808C6AB0F18D21D945 | 8AF43268B23CAFD2ED8374413A7F6F577C949A3C |   28122200 |  3145728 |  1293570 | UnityPlayer.dll
FCC085DDB5CD106C3C595F6036B404C594760862 | EF38302EF569413579B97937A69AF7CBDFA0A843 |   28122200 |  3145728 |  1137760 | UnityPlayer.dll
1CC5F1DD041043C37799198CEDD8C13FE32D7076 | 55CCE1AF6B67328ECCA7C45C6CAC153638DFC7AA |   28122200 |  3145728 |  1025360 | UnityPlayer.dll
EBB23038A2FADA7B2FBA7E0A879BE94196E778AF | 866D299063A8C32DA55DE8AAFD1EDBF7F8C2C666 |   28122200 |  3145728 |  1316887 | UnityPlayer.dll
C88A051FF567567CD00D21A370A32796529C388E | E3DCE3CB772C9BFC369F6EB899FDE811A63177FA |   28122200 |  3145728 |  1283887 | UnityPlayer.dll
4D350EE600FB00970A4E35BB32141937E703C441 | 152CF608FDA83A42C912579673922E3867958251 |   28122200 |  3145728 |   992401 | UnityPlayer.dll
F8B0DEFFAFD79727F34A0EFC6B8BF48E007DD82D | 91B2355246651ED1780F247C14BA9F780E0B28ED |   28122200 |  2956376 |  1094222 | UnityPlayer.dll
A4640B3201A0A7D0038A7AD9FF1AA78DA435D1E0 | 17ACE2E5F5741BD7C84D13C9411AA30F651EF329 |    4975704 |  3145728 |  1019413 | MonoBleedingEdge\EmbedRuntime\mono-2.0-bdwgc.dll
6FB4D3F3C35830143EF097429A417983E3E750C7 | 7B90BE2F2A95800F1DF29AFD95C066E7C7AC846A |    4975704 |  1829976 |   612772 | MonoBleedingEdge\EmbedRuntime\mono-2.0-bdwgc.dll
3C37848331F39E74824BC33403B08BD3AE62CABC | FAA253AD1B75DED2BBA3D1D355BCFC8213B55D55 |     780288 |   780288 |   245849 | MonoBleedingEdge\EmbedRuntime\MonoPosixHelper.dll
F2DDDB831B08D15A3A228DEFEEF42FF24AF5E257 | 2D5454E161DE8A5B65910F27BD70D9D0AD8FA476 |     311984 |   311984 |    29973 | MonoBleedingEdge\etc\mono\browscap.ini
31F34E8C9A372F77D5037BD5AFB261C8BB8E85B7 | C44835E4881D95A97B597BEBFF5DEBA0233A5887 |       3276 |     3276 |      613 | MonoBleedingEdge\etc\mono\config
2EA567ADAE7520EA045AA259029BCD07EC32062D | B3E4B508AAB3CF201C06892713B43DDB0C43B7AE |      60575 |    60575 |    13371 | MonoBleedingEdge\etc\mono\2.0\DefaultWsdlHelpGenerator.aspx
BB728A1D19C9E80BB81E2792CC62304C5D27C213 | D8DB7111FCE5A08D8B7C9A6E1E0AD2FBF34CFE12 |      29116 |    29116 |     3921 | MonoBleedingEdge\etc\mono\2.0\machine.config
83BDF964B4324E7CE25B7BC9FD13BF2E60E12AF6 | DD2BE2DBCCD34736719301AEE92429D4258EA5A0 |       2622 |     2622 |      665 | MonoBleedingEdge\etc\mono\2.0\settings.map
CA7B5AA1CDB27709DFC72156DD3AD3D58C03FABC | A4D7E05516F63D6AB67327B299D4FB2852CB840B |      11686 |    11686 |     1964 | MonoBleedingEdge\etc\mono\2.0\web.config
A2F5981DD1E84F277070D0DBDAB549AD522EB75F | 187DFF516F9448E63EA5078190B3347922C4B3EB |       1605 |     1605 |      591 | MonoBleedingEdge\etc\mono\2.0\Browsers\Compat.browser
2EA567ADAE7520EA045AA259029BCD07EC32062D | B3E4B508AAB3CF201C06892713B43DDB0C43B7AE |      60575 |    60575 |    13371 | MonoBleedingEdge\etc\mono\4.0\DefaultWsdlHelpGenerator.aspx
F1B3DFC115F81B086632F4DD98CFDE1AA095EAE4 | 9245BEFCD116458E9619694F1A785C50FA61B58E |      33648 |    33648 |     4269 | MonoBleedingEdge\etc\mono\4.0\machine.config
AF6A4E0D14E64F93A70550BAD73ADC52B636C7ED | 8E17E2AEC423A8E6FB43E8CBE6215040217BB8A3 |       2622 |     2622 |      665 | MonoBleedingEdge\etc\mono\4.0\settings.map
AC47037DD4B9765C6483C459862A7C5D5ED8B7C3 | 7D776D730CBD253564713F36573DD8366782788C |      18848 |    18848 |     2726 | MonoBleedingEdge\etc\mono\4.0\web.config
A2F5981DD1E84F277070D0DBDAB549AD522EB75F | 187DFF516F9448E63EA5078190B3347922C4B3EB |       1605 |     1605 |      591 | MonoBleedingEdge\etc\mono\4.0\Browsers\Compat.browser
2EA567ADAE7520EA045AA259029BCD07EC32062D | B3E4B508AAB3CF201C06892713B43DDB0C43B7AE |      60575 |    60575 |    13371 | MonoBleedingEdge\etc\mono\4.5\DefaultWsdlHelpGenerator.aspx
BE100E1A0D3F7BF77BD5C69155B2D339680C2F63 | 1E118F4B5C1C6A7B1858E3FCCB1B1D1095561976 |      34106 |    34106 |     4322 | MonoBleedingEdge\etc\mono\4.5\machine.config
AF6A4E0D14E64F93A70550BAD73ADC52B636C7ED | 8E17E2AEC423A8E6FB43E8CBE6215040217BB8A3 |       2622 |     2622 |      665 | MonoBleedingEdge\etc\mono\4.5\settings.map
269594009E80D312A7DE2454DEE54554B8C1B013 | EA3E2AD6D71D483C54B12852DCBDCD0BAA569988 |      18857 |    18857 |     2727 | MonoBleedingEdge\etc\mono\4.5\web.config
A2F5981DD1E84F277070D0DBDAB549AD522EB75F | 187DFF516F9448E63EA5078190B3347922C4B3EB |       1605 |     1605 |      591 | MonoBleedingEdge\etc\mono\4.5\Browsers\Compat.browser
46F400A653258DAC8DA60B721E02E8F38BB2E4B9 | 936520D5BB5C00A1985D7A4C4F0EF763A9031862 |      25817 |    25817 |     3019 | MonoBleedingEdge\etc\mono\mconfig\config.xml
ED71539F6BDBEA14AB33E18DA05821097AACB449 | C86C766F5E2BA6697CDF374BD1077755DB1092B5 |         22 |       22 |       31 | They Always Run_Data\app.info
19756626C3EDD4363F8130C8A64B221BBE973AE6 | A3C4E5AEA8C771B6E38A8905A3AC5E05BF56403A |         49 |       49 |       58 | They Always Run_Data\boot.config
E8686A5B15A59153BDE163A5B2720B9A148A68C6 | 83869E1157DCCCB5067D77E46AE707D5ECE29CAC |     967148 |   967148 |   202276 | They Always Run_Data\globalgamemanagers
362852A39B77B3587FC4814831411A284AB3A674 | 179DE52A771E70963028F48654874F27762F21A1 |     520832 |   520832 |    78936 | They Always Run_Data\globalgamemanagers.assets
