Total number of files   : 218
Total size of files     : 4856850619 | 4,86 GB
Total number of chunks  : 1
Total bytes on disk     : 561883323 | 561,88 MB
Total bytes compressed  : 4128309872 | 4,13 GB

Compression Method      : Deflate
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 

Max(?) Slice Size       : 2097152 (Depracted)
Padded Slice Size:      : 2098176 (Depracted)
Is encrypted            : False (Depracted)


Readme Files:
RootPath: support\inst\ReadMe, Files Count:6
Name: German\ReadMe.txt | Locale: de-DE
Name: English\ReadMe.txt | Locale: en-US
Name: Spanish\ReadMe.txt | Locale: es-ES
Name: French_ca\ReadMe.txt | Locale: fr-CA
Name: French\ReadMe.txt | Locale: fr-FR
Name: Italian\ReadMe.txt | Locale: it-IT

Manual Files:
RootPath: support\inst\Manual, Files Count:6
Name: German\manual.pdf | Locale: de-DE
Name: English\manual.pdf | Locale: en-US
Name: Spanish\manual.pdf | Locale: es-ES
Name: French_ca\manual.pdf | Locale: fr-CA
Name: French\manual.pdf | Locale: fr-FR
Name: Italian\manual.pdf | Locale: it-IT

================================================Chunks================================================

Chunk ID: 1, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 |     		 Slice SHA1		   |  FileSize  |Slice Size| DownSize | FileName
D91A2F73781EE21379F03EC8B7FA48BF28315908 | CB6367428A4B2CD1C4C2D330AE870FB872FDBEBC |     171520 |   171520 |    96455 | bin\binkw32.dll
1881C76DF01D2BE6C34432F6C7FB8F0268C3403D | BFCD6C98C29CC86B0E13432C18629E5F06608546 |   20184168 |  2097152 |  1009161 | bin\Dunia.dll
3625491B75F52D471CD08357B79BF9FFDECAF70C | ABA7CD3060EAB58BBCD9185BCF2675C450637B71 |   20184168 |  2097152 |  1014255 | bin\Dunia.dll
B11BE736FD68934F4664F02018CB4F6F0C9A500F | A75A0F88E7BD6DA6E0735B25F280D5442209187E |   20184168 |  2097152 |  1007592 | bin\Dunia.dll
E55909D1A749C324AA2FF3F1F58CB9BC992FD5EB | 1A2DFD9A3137167365EC521BEFBE4AAEB71E55AE |   20184168 |  2097152 |   999947 | bin\Dunia.dll
C7C9FD1477CFC6027DAC95A508048F48D5262CA9 | 45A9F0F563174E7B9F754EE50789444C5CFE1996 |   20184168 |  2097152 |   912561 | bin\Dunia.dll
F7FECDCBE5A9865009CE493A34E1064DBC44926E | F5FD49AC806D94EB866513163BF718227C535264 |   20184168 |  2097152 |   982412 | bin\Dunia.dll
A9A62EEA57E288677F343D1BB350B69B3D2CCD4B | F2E041EE5C0E1F9AD0C45A8269719AF639CDC30C |   20184168 |  2097152 |   967716 | bin\Dunia.dll
B595C8B0ECF0E46768E8D81AC78E7BDAEFC73ABC | AD796B2BBB0B62C22848AD7427D23D1ABC244ED7 |   20184168 |  2097152 |   801049 | bin\Dunia.dll
9EDDDC87352D2961E34C2C465C59859F30A73A6D | 6F5D96BDC98AEE579AD62FDA75F88945CFDAFD4E |   20184168 |  2097152 |  1917144 | bin\Dunia.dll
A8499DED5B72640BF310E5786C08FE57FCEDD6B3 | 72B873DBB1F2458DA69F36FF48329FA41FCDA7C0 |   20184168 |  1309800 |   514718 | bin\Dunia.dll
08C7E03AF4CB760ACA49D73B995F1384811F6760 | 077D68436CDD3E08D7168407D7D50986AE39FD5B |     126976 |   126976 |    55247 | bin\eax.dll
2D1DEF931D7684F6AB97518BF898EF9126F67AC1 | A6BD12BBB6905D8373CF54F0123167B3D5E170C7 |     773088 |   773088 |   412263 | bin\msvcr100.dll
1DD2679C76F3A96E0DA9AD07FC6907A35F049480 | 04446CF27939592E9A294DE6010D8AA760FD6036 |        399 |      399 |      182 | bin\extendedpcidevs.txt
CBC05937F75CD98D9725D01DE7984DC4B0E93B1D | 74EDB5368712EAA40F4CF28061FFE61F3479CB4D |      29864 |    29864 |    18039 | bin\FarCry2.exe
EB3D27F27033AE5AC447B399E63D09C6CE571A83 | B364B14E86B391E1FDE685A391EDF6CFAD15D128 |    5170792 |  2097152 |   378579 | bin\FC2BenchmarkTool.exe
78CFD2832FA0F82B153BCEC006F38252D61857D4 | 8D0395E594FAC9C61EA5FFCE4F1CF07A68D3298C |    5170792 |  2097152 |   328070 | bin\FC2BenchmarkTool.exe
0210A61ECC6D4B0C5662572A1D2E3E7FC3BAA00E | 53349CAA4C4FD8C29D717A3D70D1D923B5160679 |    5170792 |   976488 |    99052 | bin\FC2BenchmarkTool.exe
2E7B5511A7A70C7E7A305A94282E3858CF724D08 | 0953858AC289B8487B71033A5C014AC3B1D6EE3D |        119 |      119 |       83 | bin\FC2BenchmarkTool.exe.config
0DB2E2549540ED44F47CE46D98B25EDF6E5B5141 | 9CE5BA21215BC76A2F48617E26F9D2313A73CFA4 |    1181288 |  1181288 |   933396 | bin\FC2Editor.exe
F6BB12F12F8CCB8F2CFCB6ECA6445C102A0E3033 | 80078A0E1BA1EF0837867F565577FEE6485CE80A |   13760616 |  2097152 |   950599 | bin\FC2ServerLauncher.exe
CCB4368F38B99B26DCFE9D42A8787C25027EB651 | 694E636074F9C9248BB409F51B9F00AAC91454F6 |   13760616 |  2097152 |   988678 | bin\FC2ServerLauncher.exe
6F996CBF136DC98C2F5B2D593932C34F1A680A14 | 3CD3772D3DF858767EB70E52724C0FA34F8522A1 |   13760616 |  2097152 |   977052 | bin\FC2ServerLauncher.exe
8B3FF4924778D06852F58B469EE938785113B870 | E4FA4815DF25EDB189CC8A783540717821537C98 |   13760616 |  2097152 |   959066 | bin\FC2ServerLauncher.exe
55E3F50652A5C2081D4074E7A97EB6B2349AE4C5 | 87E2202B3BB1F1D78A30FC1633DFC0933A8E27DB |   13760616 |  2097152 |   964828 | bin\FC2ServerLauncher.exe
BD9EC63A2837EB3ACB7A2499D9DE1F016351BDEA | 9D0FD7F2318D94449D995D42F776971853FEDB97 |   13760616 |  2097152 |   832923 | bin\FC2ServerLauncher.exe
CF1F3C178424CE9C63D10BBFDB65F7E00792284F | F673A716F6C5607BDCD57A23DB6BD066B279DD99 |   13760616 |  1177704 |   362527 | bin\FC2ServerLauncher.exe
ACEF8DEF8A257320316E2A0ACD6B94B36F65BC23 | 8324B75718B0E2AD76F27AF41BE8EFAA0DEE964F |      10364 |    10364 |     3289 | bin\FC2ServerLauncher_ReadMe.txt
613005F64807F7760B605342F80DBE624B79E2D6 | BAC661A0045EF98FB7B7C20BDA98AC7B110D6618 |      13416 |    13416 |     6023 | bin\gpudatabase.dll
0C1B0FCA4CD2DA2BEA032CE35CF31F011859E32C | FDAF2B98C2081CE516DEDCBC0ED47BC61EDDFB31 |     586024 |   586024 |   132666 | bin\Microsoft.DirectX.Direct3D.dll
