Total number of files  : 262
Total number of chunks : 4
Total size of Files    :       7914907549 Bytes | 7,371 GB
Total size of Slices   :       3619940253 Bytes | 3,371 GB
Total size Downloaded  :       2848504098 Bytes | 2,653 GB

Compression Method      : Deflate
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 1, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: 
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
18056A50F4F9439567E891EE862A1B483B834D5B | 9A72465CD5DC8BF35C10945EB379D6A746BA007B |         34 |       34 |       42 | assault.dat
D1474BBD7A00C84A8E1035D6B005CB51FA8368D0 | 8C6B54168F1882323632F1D946417D2208DC8956 |     194560 |   194560 |   109990 | binkw32.dll
E3B36B1F4867A409955055F74476D10A34BA4B76 | 55A832BFF5F74D821F255D1716E02FB215342557 |     645736 |   645736 |   304013 | dbghelp.dll
ADC6E97AF8D9C63F50C779BAD55705BADC4C654E | 45D8181462167F523B4CA3C14E4130A26BD1EF6F |     156928 |   156928 |    75671 | laptopgamingvista.dll
9313645154B60627548B645EDE1B8078C54F7B63 | 97603366AA86A3CD96806BE41B4FA9B17E761CE9 |     156928 |   156928 |    75433 | laptopgamingxp.dll
0FB218DC7214BD9552B69DD7313D7042C180A3DF | 82FA12804BDCE7E3492FBEEA0929E57AC4B64B3C |     128256 |   128256 |    63101 | madhoc.dll
DE6A6C21A258B27C212ABB31F93BCADA96B2C3D6 | A8339B09341F1281EF3C8B5F373FDECDFF89555B |     128888 |   128888 |    63810 | madhocvista.dll
4DEBD2D8D1D6B095FCAE1F46147B412C72F21A1F | 52B8D88D42DD66E94BD05547E62A04E7ABA964AB |    3094090 |  2097152 |  1930487 | Manual.pdf
044EF552A0C688BE2552AEC6CE5265B5A23775BD | 890F6C5856315DD4B91B0953E28FE2778BE0B8EF |    3094090 |   996938 |   853501 | Manual.pdf
2A52C98513195AB465343D28943A6ED39DCD1D00 | BAF21DF25C945DAB68871706723050CCB4432ABC |        588 |      588 |      314 | Massive_WorldInConflict.xml
71F540B6F9C454014E056694CC5791A89F0AD1C5 | A085EA287F729D35D450550848E5CC2B455CB193 |     392296 |   392296 |   188205 | mss32.dll
