Total number of files  : 2344
Total number of chunks : 1
Total size of Files    :        199909396 Bytes | 190,648 MB
Total size of Slices   :        199909396 Bytes | 190,648 MB
Total size Downloaded  :        183443873 Bytes | 174,946 MB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 4.70
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: 1, Chunk Language: , Chunk Tags: main
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
AA95CECA2C7536D2072393F12B46039B0D26A45D | E7D86DE9FF1BAB3D80C84338C1CC6F542F0D19E9 |    3725144 |  3145728 |  1357854 | anzu.dll
8F0EEEB70AEAA99933E03DD1FA7F5F14BD2733E1 | BDBF2A2F2FD308A15A7279EC4EE571F30E1305F1 |    3725144 |   579416 |   212614 | anzu.dll
6FB2F34DB96976986882F593579EAE2CD30C7FCB | AE3143A5603BADEED76A36F5F2429999CE4E7015 |    1755136 |  1755136 |   706666 | fmod64.dll
01652CC3BA0B2A900BB5D8926D951B05E4D84454 | 4A69BB758B7789433BC8A8355DC1E8F6985B26E6 |    1298944 |  1298944 |   550284 | fmodex64.dll
0029727F5A068B2201B5BBE5D8036880A788DC08 | 73781A1D80D65BED89956BC81662B3FB62AE87F2 |   21882904 |  3145728 |  3107895 | Growtopia.exe
F6DD158BDA4FA22162FFBD34EBC212ACF10594E7 | 0C4B5B9B00FB52BFFEEFB07D21B400213092EAB9 |   21882904 |  3145728 |  3137841 | Growtopia.exe
2811F5C3D00FC8CD41F457EEC383011217BB6025 | A5252A3ACF2C2A76A3D6F5B7DD77CA83EF8D701A |   21882904 |  3145728 |  3145812 | Growtopia.exe
95A8FCD8A58572BD748B0F4DD4806DDBD6ABB3E7 | 8E938850625E20A09D21168FD02D65935241B46C |   21882904 |  3145728 |  3138343 | Growtopia.exe
481CCADA6B2097943B7EEBD6AE8E0552C809247B | 6F80063BFDA288805121426E0021BBBB42567070 |   21882904 |  3145728 |  2560551 | Growtopia.exe
FD28BEF0B8E3B7D0D74A968CAF97F6A6F606967B | F5BA51E23D11CBA3AB50A28574C8C59BE3ADC77F |   21882904 |  3145728 |  2579511 | Growtopia.exe
B7073964E691A1C5136FD00165B5DD624E77F127 | 13CAA98A7695D9655D01EFA6B6DB629F0E11AC2F |   21882904 |  3008536 |  1880593 | Growtopia.exe
BD949C2F981B55C6F7616918D20A8FCE2C6A7F67 | 42263A5E88B3C3E14CEA9A1FD6784252FF6017EF |     589632 |   589632 |   181661 | upc_r2_loader64.dll
226A1A6EA926004C616FEFACE955AEB7857088EC | 53EEDE412257D5C455E02605EFB7B490F5B02005 |     585536 |   585536 |   180769 | uplay_aux_r1_loader64.dll
CCC9E52FFF1577A26F1637F97712E583C11645CA | 29736DD620AA848BF9DC5DA5D29C04653BA3A2F6 |     159812 |   159812 |   146253 | audio\achievement.wav
8B2CF964C374A3A03BBCFE0462E52CCC977D88FC | AF57ED6ABC5546DC33565822DAB294D38CC58706 |      75692 |    75692 |    71778 | audio\aibellharp.wav
455FA1AA92E6A5006AF3E542C24C0F71CE3E4B1D | B59E38A5CE468334CAB78A130D5924A6AE2794C1 |      44100 |    44100 |    40684 | audio\airy01.wav
730E1AD8A2221532A12E1B756A2160A7D1F5F497 | 8186045FF97AF5BBA09899936A24425552280C51 |      44100 |    44100 |    40838 | audio\airy02.wav
042D4EFB2EEAD53B189BF020B82059353182E641 | 049F361C09293F183F4003A7858C19A986296164 |      44100 |    44100 |    41462 | audio\airy03.wav
7BC8BCD9DC117D0BA1F9CED5B6717276FD470A31 | 5960E1BE17F37EEB9D5BF22F22E61A78D479BB6F |      82126 |    82126 |    71767 | audio\already_used.wav
D61C18923C5430F9D9345692DDA26EEE08F8F1B3 | F7A9DFDC79A59FD718F75AE7B25A9E80F0D5E0DB |      10410 |    10410 |     8555 | audio\arrow_thwip.wav
6CC4F4286E8CD1F4B88A6BD63120D4D7087EF0FE | D5D0A073DDDD6BFE1F6D2225D2121EE9FCA84E26 |      44380 |    44380 |    37797 | audio\baa.wav
6CC4F4286E8CD1F4B88A6BD63120D4D7087EF0FE | D5D0A073DDDD6BFE1F6D2225D2121EE9FCA84E26 |      44380 |    44380 |    37797 | audio\baabaa.wav
69C87FDFFB8E1AD3000E8BD3321FFDA435A65D76 | 21B48AFF47F0B074AB75E449FCD408911D718397 |     331422 |   331422 |   208949 | audio\babycry.wav
053C6DA1F94DFB4C2D3839868621E67EC2E6E778 | 802CD54A0C11B7BF0C7B70404E9C5EBED5C270F8 |      72370 |    72370 |    31024 | audio\balloon.wav
E8DEB5C29FF44D8935068E5A7E76E669EB397B54 | 370F9D1A93639CCD243D8C01EC46D9C2263CBF2C |      29592 |    29592 |    25680 | audio\barf.wav
EEC35F48D4C1C09A89A2911A2C37D5C2C9BEF0D4 | 5DC8BD340B550FDA9C454B93F5A5A4B612474CBB |      18224 |    18224 |    16619 | audio\beep.wav
6D08EBFB8052A3D11CDF73CBF0F9E17F995B2062 | 141CF771FB2A26245EA4E8C51CE4C85775168233 |      22118 |    22118 |    21245 | audio\belch1.wav
6512002114274A8C3C08809E4A9E63CB07096B68 | 66202BEC882418729D4347962A1401E6369894FA |      30564 |    30564 |    29313 | audio\belch2.wav
C71A436B0654999B4237D81F22665A033E57D730 | A36757179B46B0A838838160B0AC3E5B00D779C9 |      22134 |    22134 |    15835 | audio\belch3.wav
0046879B88CC44B43D2264F24F833187B266D836 | 3C0600039465BAD61E64ED5E95DBFB7764D8631B |      22092 |    22092 |    21124 | audio\belch4.wav
B331721D5880705CB265788BF877682864669B09 | BE30C5A525BC621C443E891E3D4BD736EFD5EFD3 |      56652 |    56652 |    49211 | audio\bell.wav
5646009B1B459027CDF8C37E555360B44B0B1FF6 | 84429E15CBF35BEADF223C2371D38F910BE00C24 |      67674 |    67674 |    60741 | audio\bigboom.wav
98E48A6C6DF7D971097C0620E02A52C71D2E09A3 | 9C48BC58463163C73397A5B64BD33B14C1652592 |      70568 |    70568 |    51107 | audio\bird3.wav
5FABF1621C164E4D48A588D955C832F74BC24A50 | C8CD7B4A55319515628415F822A67B900FE653F5 |      30188 |    30188 |    27135 | audio\bleep_fail.wav
931966E23DC56D9E18C287813F4264589C17F782 | FC05D5B94D33A9F472133C7C47F52AABD3BC1EDB |      18474 |    18474 |    15889 | audio\blip_lock.wav
A081D91B4A3DF19692AAACC57EFA0C46B95FD871 | 24EB1C0E233E0F3860A1E186008E98C9963B3317 |      20866 |    20866 |    19641 | audio\bloop.wav
B00CF071E7A5A38DDE6AB88382997CA75C143991 | 4BB8863E7CFDF411390559FC89F26D13786DEBD2 |      32400 |    32400 |    28126 | audio\blorb.wav
1F1906A7676A30449E479E6162C1302D80D98768 | 8E36C9784E98825BEDFAB4D0C6546E5668B8A28D |      21998 |    21998 |    10121 | audio\boom.wav
BFF902CD0E7F6BC777C9881C4DCEC7219E143401 | 2B70D2B5BD0DA8C347E89EC385CEC50DD8DD866C |      80094 |    80094 |    64335 | audio\boo_death.wav
