Total number of files  : 299
Total number of chunks : 1
Total size of Files    :       1166941268 Bytes | 1,087 GB
Total size of Slices   :       1166941268 Bytes | 1,087 GB
Total size Downloaded  :        368141330 Bytes | 351,087 MB

Compression Method      : Zstd
Version                 : 3
GameVersion             : 
Is Require Patch        : False
Is file compressed      : True
Chunk Version           : 0
Legacy Installer        : 


================================================Chunks================================================

Chunk ID: 0, Chunk Type: Required, Chunk UplayID: 0, Chunk Disc: , Chunk Language: , Chunk Tags: main
		SHA1			 |     		 Slice SHA1		    |  FileSize  |Slice Size| DownSize | FileName
BFEC82F61FE583B0ED58FE4CCA64AEBB659D2103 | 5BA435F983882349CEFB0285D5EFB0D6BADBDA3A |     419352 |   419352 |   190275 | baselib.dll
3D2FEE6139035D195C791E2DEB4D52412D0102C8 | C8C22DE105FD364D459454F7AA51E265D5023C8A |      71114 |    71114 |     6117 | baselib.dll.lib
7F1E7C2F7E088771464667CAEC7849BCBE631F57 | E96CF80F3924A22EE13BE39A08F90DBA82C56E63 |    8231448 |  3145728 |  3103775 | Captain Laserhawk.exe
7A9CF81B886A5FFD7FC79A4E77DBB2D7DFAB0EFB | AB0A55EBF02DA1584C23EEC2A34D4ACDC93A8A83 |    8231448 |  3145728 |  2326939 | Captain Laserhawk.exe
8FEB168E9A0CFC4D552447BF7A3101379C4D796D | 464682D9223DAB384929805808A6CE9F706D4380 |    8231448 |  1939992 |  1587594 | Captain Laserhawk.exe
C72016E1B28028C2B160AE5829D6F261B226D732 | BAF6145C082AE384B50CA81D547DDE7BA3288F1F |       2150 |     2150 |      592 | Captain Laserhawk.lib
3AA058F471C5D5C13CB4958F1C75D59702F0C626 | B1C35CE8941F41DF4B088E13EC5529D911719A06 |   43165720 |  3145728 |  2803550 | GameAssembly.dll
16613FECA7F0E54595903E536ED45AF3FAC3BFAB | F9346456304750263329A65099A8E04A2FCB4AD6 |   43165720 |  3145728 |  2085083 | GameAssembly.dll
95B9EE9A06E99E432D3EFD4EB0EA5AE17B7A6041 | 6EE340382909CDA7D9DD6A3120AEBFDB3A09E631 |   43165720 |  3145728 |  3120928 | GameAssembly.dll
B1738D96EBA7DE69CD5A6B42DD50ACC5B139BBD7 | 1965C08FE30ABCE7441093529B487E66E43D24E3 |   43165720 |  3145728 |  3145812 | GameAssembly.dll
2FA3E2450D8A85DEEC28C78686582C868A127C86 | B18C77926AD57A9A8C96EE8F0FDB131AD314637B |   43165720 |  3145728 |  3145812 | GameAssembly.dll
03540A71D46627D4163D668BDE3A928677A76D3E | 887C884AEFD009C4D75CD241AAED678BD75BF7A6 |   43165720 |  3145728 |  3145812 | GameAssembly.dll
A72F65E3C7E5B1D70885A14F42D00D5646508AD0 | B9B6B44F5D7FC340B8A0BD785B09EE3FB229E938 |   43165720 |  3145728 |  2939068 | GameAssembly.dll
16E8E7EE033486D0E86B7547C66C77C9F2FCE861 | 8B09C00BCDD0163CCA06BC26833C177B57014C07 |   43165720 |  3145728 |  2793442 | GameAssembly.dll
